番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめしない,378,だめだ,negative,だめだ,その他,「だめだ」という表現から、ゲームに対するネガティブな感情が読み取れるため。
2,おすすめしない,3233,ゲームの中身が悪くなるアプデはすべてのゲームであり得ますが、人口がある程度いるゲームをアプデの度に複数人が起動できなくなるタイプのアプデを何度もしてきてるのは、ゲームプレイヤーを客ではなく家畜だと思ってゲームを作っている証拠です,negative,アプデによる不具合,ゲームシステム,頻繁な不具合によりゲームプレイが困難になっているため。
3,おすすめしない,3108,"ダイヤになるとプレマスマッチに入れられます。ダイヤソロ３人VSプレデターフルパ。勝てる可能性は微塵もありません。バトルロワイヤルの参加者ではなく狩りの的役です。ビートたけしもびっくりです。
この状況が数年単位で続いています。開発陣はこれで良いとの結論に至ったようです。数ある娯楽の中でこのゲーム体験よりも下のものを探すことはとても難しいでしょう。",negative,プレマスマッチ,ゲームシステム,ダイヤソロとプレデターフルパのマッチングが不公平で、勝てない状況が続いているため。
4,おすすめしない,51,クソげー,negative,クソげー,その他,「クソげー」という表現から、ゲームに対する強いネガティブな感情が読み取れるため。
5,おすすめしない,793,このゲームはラグすぎてまともにプレイできるゲーム例えばDDOSやロールバックなどやっていて不愉快な現象しか起きずなにが楽しいのか全く分かりませんこのゲームをするくらいなら働いた方が有意義な時間を過ごせると私は思います,negative,ラグ,ゲームシステム,ラグによりプレイに支障があり、不快な体験になったため。
6,おすすめしない,141,鯖落ちしてランクポイントが減り、ペナルティで強制的に１０分ゲームできないクソゲー,negative,鯖落ち,ゲームシステム,サーバーの不安定さによるランクポイント減少とペナルティが挙げられているため。
7,おすすめしない,87,起動させろカス,negative,起動させろカス,その他,ゲームを起動できないことに対する強い不満を表しているため。
8,おすすめしない,1358,エイムアシストゲー,negative,エイムアシスト,ゲームシステム,エイムアシストが強すぎるため、不快に感じた。
9,おすすめしない,1774,s,negative,映画化の配役,外部要因・映画化,映画化の配役が気に入らないため。
10,おすすめ,309,a,negative,映画化の配役,外部要因・映画化,ゲームの内容とは関係なく、映画化の配役について不満を述べているため。
11,おすすめ,2753,"ゲーム自体は良いが、バグが多い。あとショットガンが一生弱い。

わけわからんところでスタックしたり、時たま弾は抜けるし...
こんなゲームするくらいなら勉強したほうが良い。

でも俺はそんなAPEXがなんだかんだ言って好き。",positive,バグが多い,ゲームシステム,バグが多く、ストレスを感じる要素があるにも関わらず、作者はそれを愛しているため。
12,おすすめ,165,a,negative,映画化の配役,外部要因・映画化,ゲームの内容とは関係なく、映画化の配役について不満を述べているため。
13,おすすめ,673,いつやっても面白い。新キャラが強すぎる時もあるが、カジュアルで遊ぶ分に楽しい。,positive,新キャラ,ゲームシステム,新キャラクターの登場がゲームを楽しくする要素となっているため。
14,おすすめしない,11,勝手に落ちる,negative,勝手に落ちる,その他,ゲームが頻繁にクラッシュするため、プレイに支障があるため。
15,おすすめしない,3230,思っていてー,negative,ボリューム不足,ボリューム・価格,レビューが「思っていてー」と短く終わっていることから、ゲームの内容に満足していないと考えられるため。
16,おすすめしない,1351,♥♥♥♥ YOU,positive,YOU,その他,「♥♥♥♥ YOU」という表現から、作者がゲームを非常に高く評価していることが推測できるため。
17,おすすめ,377,遊んでみてください。それがレビュー見るよりも絶対良い,positive,体験,その他,実際にプレイした方がゲームの魅力が伝わるため。
18,おすすめ,317,"ゲームは楽しいのですが、（クライアントがチート対策機能を実行か、チート対策認証に失敗しました）　
と出てきてロビーから落とされます原因を知りたいです",negative,チート対策,ゲームシステム,チート対策機能による頻繁なエラーでプレイに支障が出ているため。
19,おすすめしない,0,課金アイテム全部消されます。,negative,課金アイテム,ボリューム・価格,課金アイテムが全て消えるという記述から、ゲームへの不満や損失を感じているため。
20,おすすめ,2115,"まじでさー、なんでこのゲームをこんなにプレイしてるの？
というかゲームに時間つかいすぎなの、画面のぞき込んで、キーボードかたかたして、ろくな人生送ってないよ？？？",negative,時間泥棒,その他,ゲームに時間を費やしすぎて人生が充実していないと自虐的に表現しているため。
21,おすすめしない,104,ランク上がりませんから面白くない,negative,ランク上がりません,ゲームシステム,ランクが上がらないため、面白くないと感じている。
22,おすすめしない,1098,bagugahidoi,negative,映画化,外部要因・映画化,映画化に期待していたが、ゲームの内容と全く関係ないため不満を述べている。
23,おすすめ,1223,神ゲー,positive,神ゲー,その他,「神ゲー」という表現から、ゲームに対する肯定的な感情が強いと判断したため。
24,おすすめしない,475,,neutral,データなし,その他,レビュー本文が空です。
25,おすすめ,1921,good,neutral,good,その他,「good」という単なる評価なので、感情や要因を特定することが難しい。
26,おすすめ,1743,2000時間クソげーと言いながら愛したゲームです。改善点は山のようにありますが、とても面白いゲームです。,positive,面白さ,その他,「とても面白いゲーム」と述べているため。
27,おすすめ,998,A,negative,映画化の配役,外部要因・映画化,映画化の配役が気に入らないため。
28,おすすめ,49,omoroi,negative,映画化,外部要因・映画化,映画化に期待していたが、ゲームの内容とは全く関係なく、残念だったため。
29,おすすめしない,480,"妻子持ち詐欺の私によるとJKと一緒にたくさんプレイ!出来ましたが、
このゲーム自体は面白くありません！
ゲイ友達募集アプリは　ゲイミー！",negative,面白くない,その他,レビュー全体で「面白くありません」と述べているため。
30,おすすめしない,997,おっぱいまんこまんこちんこ,negative,スラング,その他,不適切な言葉遣いが使用されているため。
31,おすすめ,34,頭使わないからいい,neutral,頭使わない,ゲームシステム,「頭を使わない」という表現は、感情的な評価ではなく、ゲームシステムの特徴を述べているため。
32,おすすめ,82,キーマウでプレイする人は覚悟を決めて下さい。,negative,キーマウ操作,ゲームシステム,キーマウでの操作が難しいと表現されているため。
33,おすすめしない,163,中学校3年間をドブに捨てられるくらい最高のゲームだ。,positive,最高のゲーム,その他,作者がAPEXを非常に高く評価しているため。
34,おすすめ,895,ぐっど,neutral,ぐっど,その他,「ぐっど」という表現は感情的なニュアンスが読み取れないため。
35,おすすめ,4,紙げー,negative,組織の問題,外部要因・映画化,ゲームの内容ではなく、組織の問題を指摘しているため。
36,おすすめしない,8,"CSでリリースされてから1週間後くらいからプレイ　オリンパス以降は新マップが増えてるたびクソマップになってて既存のマップもクソマップにどんどん改悪されていく不思議なゲーム　
蘇生と復活の敷居が下がった分キルタイムと機動力が上がっていくのはわかるけど特に機動力上がりすぎてゲーム性崩壊してますよ　だらだら改悪してないでさっさと終わらせてTF3出せ",negative,マップ改悪,ゲームシステム,新マップが増えても既存のマップもクソマップにどんどん改悪されていくと述べているため。
37,おすすめしない,19,gomi,negative,映画化,外部要因・映画化,ゲームの内容よりも、映画化に関する不満を述べているため。
38,おすすめしない,162,ゴールド帯なのにプレマス軌道ばかりなのがしんどい,negative,プレマス軌道,ゲームシステム,ランクがゴールド帯であるにも関わらず、プレマスタークのプレイヤーと対戦しなければならない状況に不満を述べているため。
39,おすすめ,17,FPSとしては未だに光るゲーム性　運営さんも最近やる気あります　バグ量産するのはゲームエンジンがフルフルだからなので許してあげましょう,positive,ゲーム性,ゲームシステム,FPSとしての魅力的なゲーム性が評価されているため。
40,おすすめしない,722,"m,n",negative,映画化の配役,外部要因・映画化,ゲームをプレイするよりも、映画化の配役について不満を述べているため。
41,おすすめしない,430,バグが多すぎ,negative,バグ,ゲームシステム,バグが多い点が挙げられているため。
42,おすすめしない,618,ランク差２でパーティ組めないから楽しくない,negative,ランク差,ゲームシステム,ランク差によるパーティ組みに苦労する点が楽しさを奪っているため。
43,おすすめ,1023,おもしろかった,positive,おもしろかった,その他,「おもしろかった」と明言しているため。
