番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめしない,0,"今どきゲームパッド使えないなんてどうなのかな。
変なこだわりはやめてほしい",negative,ゲームパッド使用不可,ゲームシステム,ゲームパッドが使えないという点が不満に思われているため。
2,おすすめしない,36,"バグが多すぎる。
サーバーは大分ましになったが、人が増えたらすぐ祭りが始まりそう。
人にはとてもすすめられない。",negative,バグ,ゲームシステム,バグが多すぎるため、プレイに支障をきたす。
3,おすすめしない,57,"エンドコンテンツの最後（MAPのT20）までプレイ

・ステータスがグループ化されてない。
攻撃関係も防御関係も、全てごちゃ混ぜの一覧で表示される。
更に「火ダメージ+10」と「火ダメージ+2」の装備をしている場合でも合計されず、自分で計算する必要がある。
そしてスキルの威力が表示が変動しないのでDPSが解らない


・エンドコンテンツのクリア条件は「100％になるまで敵を倒せ」のみ。
達成してもボーナスどころか、クリアメッセージすら出ない。

各MAPにバフとかデバフ効果あるけど、誤差のレベル


・特にポータル関係のバグが酷い。
ポータルで街に帰ると、戻るポータルが出ない時がある。
戻るポータルが出ても数十秒で消えたりする。
戻るポータルで戻ってもダンジョンリセットされてたりする。（ボス戦前に荷物整理に街戻ったら、また最初からだったり）
全く違うエリアに出てきたりする。
異空間に出て身動き取れなくなったりする。


・全体的に説明不足。特にエンドコンテンツとか一切説明無し。


・とにかく持てる量が少ない、倉庫が小さい。重ねられる数が少ない。
倉庫買えという事だろうけど、エンドコンテンツがこれじゃ買えない…
しかもPoEみたいに専用タブがある訳でもない。
レアな素材等は無いので、とりあえず倉庫キャラ５人居れば耐えられる

結論は、PoEを真似ようとして失敗した感じ。",negative,バグ,ゲームシステム,ポータルのバグが酷く、ダンジョンリセットや異空間に飛ばされるなどの問題が発生するため。
4,おすすめしない,1,"[h3] 面白くないとは言わない、並。しかしこのジャンルは「並」では生き残れない[/h3]
一言で言うと「何の変哲もない、その辺にいくらでもありそうなハクスラ」。面白くないわけではない。だがこのジャンルには競合であり強豪であるソフトが山ほどある。

PoEと比べてどうか？PoEの方が遥かに多様性に富んでいて、ビルドの楽しみが100倍凄い。誇張ではない。
ディアブロと比べてどうか？ディアブロの方がストーリーやアクション体験で優っているだろう。
トーチライトは正直好みではないのだが、あの世界観や、ハクスラとしてのシンプルさを好む人も居るだろう。

このゲームの優れている特徴は何か？と聞かれたら「わからん。何も感じない」と答えざるを得ない。ハクスラとして全ての要素が「並」なのだ。これ以上のゲームは上にあげた以外にも沢山ある。ハクスラはジャンルとしては既に飽和状態であり、「並」では生き残れない。必要なのは強力な個性だが、このゲームにはそれが無い。他の競合ハクスラと比べたときに、このゲームを選ぶ理由が何もないのだ。

まとめると、またどっかで見たようなハクスラがまた出てきたな、PoEから乗り換える必要は感じないな、PoEに飽きたとしても次にプレイするのは ディアブロ・グリムドーン・トーチライト 辺りだろうな、と言った感じです。
ハクスラをやりたてしょうがない！って言う人に対しても別のゲームをお勧めします。このゲームは「お勧めしません」。

※スチームパンク世界観でハクスラじゃなきゃダメ！！って人にでも、トーチライトの方をお勧めします。
　正直、ダークファンタジー味が強すぎて、スチーム感を感じないんですよね・・・",negative,全ての要素が並,ゲームシステム,レビューではハクスラの要素が全て「並」であり、他の競合に比べて個性がないと述べているため。
5,おすすめ,14,ロード時間少し長いしたまに切断くらうけど面白いです。POEでやってたビルドを作れる。,positive,ビルド作成,ゲームシステム,Path of Exile(POE)でプレイしたビルドを再現できる点が魅力だと述べているため。
6,おすすめしない,8,メイジはやめておいたほうがいいよ！！！！！,negative,メイジ,その他,「メイジはやめておいたほうがいい」という表現から、ゲームに対するネガティブな感情が読み取れるため。
7,おすすめしない,24,"[h1] リリースして間もないサーバーエラーでログインできなかったレビューに騙されるな！
実際にプレイするとめっちゃ面白いで！ [/h1]

と、言えたらどれほど良かっただろうか

[h1]短所[/h1]
・QoLが最悪
インベントリが非常に狭い上に、鑑定アイテム、ポータル、頻繁に拾うクラフト素材で一列は埋まる
果てはソケットに嵌めるアイテムは何故か効果が同じでもスタックできず、割と頻繁に出るので装備を拾う余裕は殆ど無い。特に２H武器は本当に拾えない
無課金で順当に行けばACT４でスタッシュが一杯になる。
https://steamcommunity.com/sharedfiles/filedetails/?id=3706093305 

エンドコンテンツの場所のレイアウトが酷い
移動用のマップがある場所とスタッシュ、商人が遠くに置かれているという嫌がらせのような配置

・インベントリ拡張が課金
概ねこのゲームはPath of Exileフォロワーと言っていいだろう
基本無料でマイクロトランザクション（MTX）を採用しているのだが、よりによって前述の問題だらけのインベントリの拡張までMTXで、タブ１つ買うには最低でも3000円課金しなければならない
本家PoEのようなスタッシュの拡張ならわかるのだが、拡張することを前提にあのような酷いインベントリの仕様にしたと考えると萎える

・時代遅れのクラフト
本作のクラフトシステムはPoEと似ているが一定確率で失敗し、時折MOD削除等のペナルティを受ける
今の時代に何故昔のMMOみたいな強化システムを何故採用しようとするのだろうか
強化成功率も「高」「中」等の確率不明の表記で全く参考にならない
それをわかっているのかレアリティの高いアイテムのドロップ率が異常に低い

・酷いUI
アーマーの数値からヒットダメージをどれだけ軽減するかわからず、耐性の確認が他のプロパティと分けられていないので非常に見づらい
https://steamcommunity.com/sharedfiles/filedetails/?id=3706752843 


・何も説明されない状態異常やプロパティ
スキルツリーのノードで専門用語が出た場合、大体のゲームはAltキーを押すとその用語の詳細が見れるようになっているがこのゲームではそのような機能が無い
「最後の一撃」「強打率」等の一定確率で発動するもの、各種バフ・デバフの説明が一切ない（感電等の一部のデバフはロード中のtipsに出るときがある）
誇張ではなく本当に説明がないのである。この状態でどうやってビルドを組めばいいんだ？

・エリア移動に掛かるロード時間が長すぎる
サーバーを探す時間と接続する時間が発生し、酷い時は３０秒程度待たされる
エンドコンテンツでは死ぬと街にワープ　→　街は他のプレイヤーがいて混雑しているので３０秒待たされる　→　ポータルに入ってまた数十秒待たされる　という地獄を何度も味わう事になる

・色々とズレているゲーム性
１．壁等で遮られ、プレイヤーの視界に見えない敵は不可視になる
　　ストラテジーゲームやMOBAならその仕様でも納得なのだが、爽快感重視のこのジャンルで何故そんな仕様にしたがるのだろうか
２．地面に落ちたアイテム名が別のアイテムと被って拾いにくい
３．スキル毎のダメージの詳細、クリティカル率等の表記が無い
４．ルートフィルターが無い
５．地面に落ちたアイテムは、アイテムの種類毎に色分けされておらず非常に見辛い
６．敵のパックサイズがエンドゲームに行ってもかなり少なく、ACT中・エンドコンテンツのレアアイテムのドロップ率が非常に低い
レアアイテムやユニークが大量に地面に落ちるといった事はほぼ無い。アイテムレアリティを上げるプロパティ、所謂MFをそこそこ積んでも殆ど変わらないのでこの手のジャンルを象徴するレアアイテムが大量にドロップする光景は見られないと思った方がいい

[h1]長所 [/h1]
・MTXを買わなくても、拾った装備をサルベージするとコスメティックアイテムとして使える（とは言え、このゲームのキャラはライオン、狐、鳥なので動物のお着替えを楽しめる人はいるのだろうか）
・ゲームの動作が軽い。GPUの負担が少ない（アイテムを無限湧きさせてくる敵を倒しながら放置した時はGPUへ過剰な負荷が掛かるが）
・巨大パッシブツリーのおかげで、どのルートからパッシブを取っていくかを考える楽しみはある
・パッシブツリーはメリットとデメリットが大きいPoEのキーストーンのようなノードが多い
・日本語訳が完璧かつ日本語版PoE準拠で、「increased」は「増加」と翻訳され、「more」は「上昇」と翻訳されている。
・マップオーバーレイが実装されている　（あのD4は３年間オーバーレイがなかったとか）



[h1] 総評[/h1]
PoEを模しただけあって遊べないわけではないが、現状は色々と欠けている部分が多すぎる
少なくとも最低限のゲーム性が約束されない限りMTXを買おうとは思えない

余談だが、本作のサポーターパックは最高額が１５万円である",negative,インベントリ拡張が課金,ボリューム・価格,インベントリの拡張までMTXで、タブ１つ買うには最低でも3000円課金しなければならないと述べているため。
8,おすすめ,19,"4/13　ある程度サーバーが落ち着いて、ストーリークリアまで行ったのでレビュー
大体12～13時間くらいでクリア、エンドコンテンツもあります

・現在体感2～3時間に一回程度、サーバーが落ちるような動作が確認されるので寛容な心を持ちましょう(ロールバックされました)
・操作自体は割と素直に受け付けます(東京鯖あり、低ping)

先に総評するとやりたい事をめいっぱい詰め込んでみたゲームって感じ
そのせいでバランスがちょっと大味な気はする

・操作に関して
コントローラー不可です(重要)
移動を左クリック、通常攻撃を右クリック、スキルはQ～Tまで、ポーションは1～5までのキーが対応してます
L〇Lやってる人なら馴染みがある操作です(ただし割とネトゲっぽいもっさり感はある)
戦士もガ〇ンみたいに回転スキルあり(キー押し続けでずっと回るので快適です)
ガンナーはミス・フォー〇ュンっぽいです　引きうちしながらスキル回せます
メイジに関してはまだ触ってないのでなんとも言えないけどきっと似たスキルがあるかなとは思います

・戦闘バランス
割と大味です
特に序盤は、ガンガンHPポーション飲んで回復しながら殴り、ガンガンMPポーション飲んでスキル回します
敵もポーションいっぱい落とすし、マップに何個か補給地点があるので忙しいものの枯渇して困るという事はほとんどないとは思います

・装備
コモン～レジェンドまで気軽に強化は可能
アイテムがあればガンガン強化して、付帯効果の再選もガンガン回せるので恐らくエンド突入まではそこまで拘る必要はないかも
むしろ適正レベルの装備を付けてないと攻撃力or防御力が低くてジリ貧になる可能性あります
幸いにも装備もいっぱい落ちるので更新はストレスなくいけるはずです

ユニーク武器の存在も確認済
強化不可だが、強力な付帯効果付き　付帯効果については厳選要素があるのかは不明

・スキル
他のハクスラに疎いのでアレだけどハクスラによくあるスキルツリーです
クリスタル(ゲーム内通貨)はかかるものの振り直しは可能なので
育成方針をガラっと変えたいので全リセ、今使っている武器種を変えたいので武器強化部分だけリセット等好きなように行けます
費用も戻した分だけかかる仕様なのでお財布に優しいです

アクティブスキル(技)に関しては覚えるものではなく、買ったり拾ったりするものになっています
アクティブスキル自体にスキルツリーがあり、菱形で表示されている効果を選択しつつ下から上に繋げる方式です
効果自体はランダムで、好きな効果を引く為にドロップ厳選する形です
行の再配置(ランダム)があるので好きな効果さえあれば繋げられる形になります


気になる点
・今の段階だとほぼ一本道(サブクエストもあるが、各章1～2個くらい　メインクエストやってるとほぼ終わる)
・大味(あっさり終わる)
・大味(エンドコンテンツは敵を倒すだけ、途中で離脱も可能なので緊張感がない)


ただまあしっかりと遊べる事はできたのでコンテンツの追加を待ちながら細々と遊ぼうかなと思います。

僕のオススメは戦士です
HPを盛ってマナコストをHPに変更してずっと回ってます
気持ちいいです",positive,操作感,ゲームシステム,「操作自体は割と素直に受け付けます」と述べているため。
9,おすすめ,42,"初動、トラブルがあったとはいえ
今の時代ゲームが高騰している中
無料でハクスラを遊べるという点と
ゲーム内のマップデザイン、敵のデザイン、キャラクターが獣人であることの珍しさ、ＢＧＭ、ＳＥ
敵の火力が高いので緊張感のある戦闘と豊富なパッシブツリー等評価できる点は多いです。
ただし
・コントローラーが使えない
・uiが分かりづらい点がある
などの改善点があるのでこれからに期待しています。
現状の評価に負けず頑張っていっていただきたいと思います。",positive,豊富なパッシブツリー等,ゲームシステム,戦闘の緊張感やマップデザイン、敵のデザインなど多くの評価できる点が挙げられているため。
10,おすすめしない,40,"魔法職でエンドゲームまでプレイ
操作性✖　WASD移動なし　コントローラー不可
カバンは狭く課金前提、倉庫移動や売却時はアイテムを掴んでカーソル往復
スキル数が少なく豊富なツリーも機能不全気味でビルドの自由度はあまりない
混戦で敵にひっかかると異常に身動きが取りづらく死にやすい
mobを視認できる範囲が狭く細いダンジョンが多いため走っていると突如現れた敵に出合い頭殴られる
敵の火力が基本的に高く後半は即死ゲーに近い、死亡時は大量の経験値と金が減りリスポーンがスタート地点固定
アイテムのレア度は白、青、黄、赤の順ですが黄すらまともにドロップしませんので装備更新も苦しい
現状は気持ちの良い瞬間はほぼなく至る所にある小さなストレスと付き合っていくゲームに感じました",negative,操作性,ゲームシステム,WASD移動なし、コントローラー不可、アイテムの掴みによるカーソル往復など操作性が悪いと感じているため。
