番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめ,2,"たまに見にくいところはあるのだけど、8番出口は他のプラットホームでも持っているくらい好きです。
映画を観た人も遊んでみると既視感はありますが面白いのでは？と思います。",positive,面白さ,その他,レビュー者は「面白い」と表現しており、他のプラットフォームでもプレイしていることを示唆しているため。
2,おすすめ,4,良い,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
3,おすすめ,2,"真似しようとしても誰も真似できない絶妙なバランスの上に成り立ってるゲーム。
フォロワーは山ほど現れたが、いまだにこの作品を超えるものは現れていない。
金字塔の名にふさわしい。日本史の教科書に載っても誰も文句は言わないレベル。",positive,絶妙なバランス,ゲームシステム,作者が表現する「絶妙なバランス」が他の作品を超える点として挙げられているため。
4,おすすめ,3,"今更感はあるけど、気になったのでやってみた。
時折ドキッとさせられつつも楽しめた。",positive,ドキドキ感,演出・グラフィック,時折ドキッとさせられる描写が楽しさを生み出したため。
5,おすすめ,1,"[h1] プレイ時間は短い。話題性は長い。 [/h1]

「異変があれば戻る、なければ進む」というシンプルなゲーム。
説明だけ聞くと正直「それだけ？」となるが、
実際にやると数分で自分の認識の方が信用できなくなる。

同じ通路を延々と歩かされるうちに、
「さっきこれ違ってたよな？」
「いや気のせいだったか？」
と、プレイヤー側が勝手に壊れていく設計は見事。

ただし、その“見事さ”はかなり短時間で消費される。
構造が分かれば後は作業に近く、ボリュームを期待すると肩透かしを食らうタイプ。

いわゆる「実況映え」は抜群だが、自分で遊ぶと冷静になるのも早い。
この辺りは良くも悪くもインディーらしい。

とはいえ、「違和感そのものをゲームにする」という発想の勝利は間違いない。
長く遊ぶゲームではないが、一度は体験しておいて損はない作品。",positive,プレイヤー側が勝手に壊れていく設計,演出・グラフィック,プレイヤーの認識を揺さぶる巧みな演出が、恐怖感を生み出すため。
6,おすすめ,2,1時間ほどでクリア。内容もかなり面白く製作段階をXにて見ていた為応援していた作品がヒットしてとてもうれしい。とても面白いのでぜひやってほしい,positive,内容,その他,ゲームの内容が面白く、製作段階から応援していたため喜んでいるため。
7,おすすめ,2,面白い。個人的には適度な難易度で楽しめました。,positive,難易度,ゲームシステム,適度な難易度が楽しく、作者の意図を理解できるため。
8,おすすめ,5,"全ての異変を見つけちゃうともう二度とやらないゲーム
でも全ての異変を見つけるまで辞められないゲーム
そんなゲーム",positive,全ての異変を見つける,その他,プレイヤーがゲームの謎を解き明かす過程に中毒性を感じているため。
9,おすすめ,3,"異変探しゲームの元祖的な作品。
今ではルールが広く知られているが、初見プレイ時は仕様が分かりづらく戸惑った。

特に「どの時点で引き返した判定になるのか」が直感的に分かりにくく、
「このおじさんが曲がったら異変があるかも」とついていくと、
引き返した扱いになって出口0に戻されてしまう。

ステージ自体はシンプルな通路なので全体的な難易度は低めだが、
見つけづらい異変もいくつか存在する。
一度見逃した異変が再出現する仕様もあり、
人によってはクリアまでかなり時間がかかる可能性がある。

一方で、環境音や異変に遭遇した際の“ぞわっとする感覚”は非常に良く、
短時間でしっかりとした不気味さを味わえる作品。",error,解析失敗,その他,AI出力の読み込みに失敗しました。
10,おすすめしない,0,"話題になって映画にもなったぐらいなので試し買い。
変わった個所を探すという発想は面白いと思った。
ただ、
・画面の中で、どこからどこまで間違い探しをすればよいのか対象範囲がわからなかった。
・対象範囲が不明な中で、キャラを操作させて間違い探しを１つ１つ見ていく作業の繰り返しに飽きた。",negative,対象範囲不明瞭,ゲームシステム,対象範囲がわからなかったため、飽きを感じた。
11,おすすめ,14,saiko,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
12,おすすめしない,0,おもしろかったです,positive,おもしろい,その他,「おもしろかったです」という表現から、ゲームを肯定的に評価しているため。
13,おすすめしない,1,むずいわbk,negative,難易度,ゲームシステム,「むずいわ」という表現から、ゲームの難易度が難しすぎると感じているため。
14,おすすめ,1,"金額の割りに十分楽しめる。
輪コインで買えるものの、人がプレイしているのを見る方が楽しい＆それでこのゲームの楽しみを完結できる（自分でプレイする理由が薄め）なのが少しもったいない所。
ですが、買って自分でプレイすることを強くお勧めします。",positive,金額の割に十分楽しめる,ボリューム・価格,ゲームの内容が値段に見合った価値があるため。
15,おすすめ,2,プライド捨てないとクリアできないぬ,positive,精神が壊れる,その他,ホラーゲームとして「精神が壊れる」と表現しているため。
16,おすすめ,109,名物といえばおじさん,negative,組織の問題,外部要因・映画化,ゲームの内容ではなく、組織の問題を指摘しているため。
17,おすすめ,0,"クリア日: 2024/03/11
👍️",positive,恐怖感,演出・グラフィック,ゲームの描写が非常に怖く、精神を揺さぶる体験だったため。
18,おすすめ,4,めっちゃ面白いです,positive,面白さ,その他,「めっちゃ面白いです」という表現から、ゲーム全体に満足していることが伺えるため。
19,おすすめ,3,"『8番ライク』というリスペクト作品ジャンルまで派生したウォーキングシミュレーター。

『異変を見逃さない』
『異変が無かったら進む』
『異変を見つけたら戻る』

たった3つの簡単ルールで、ここまでホラー&驚きの没入感ある作品は他に無し！
日本の駅地下通路の再現度がとてもリアル！かつ謎のおじさん、実際にいそうだ！？
実写映画化もされており、映画観てからゲーム遊ぶでもオススメです。",positive,ルール,ゲームシステム,シンプルながらも効果的な3つのルールがホラー&驚きの没入感を生み出すため。
20,おすすめ,0,ウォーキングシミュレーター型間違い探し。おかしなことがあったら引き返す、無かったら（と思ったら）前へ進む。一定回数ミスせずに進めればクリアというシンプルなゲーム性で、クリアタイムも1時間程度と気軽に遊べます。ホラー要素が含まれているので苦手な方は注意してください。,positive,シンプルなゲーム性,ゲームシステム,クリアまでの道のりがシンプルで、短時間で楽しめるため。
21,おすすめ,2,"初めてプレイしたウォーキングシミュレーター。
そこまでホラー要素が強くなかったので、ホラーが苦手な自分でも楽しくプレイできた。",positive,ホラー要素の弱さ,ゲームシステム,ホラー要素が強くないため、ホラーが苦手な人でも楽しめるという点からポジティブな評価となっている。
22,おすすめしない,0,あんまり面白みを感じなかった,negative,面白み不足,その他,「あんまり面白みを感じなかった」という表現から、ゲームの内容に満足していないことがわかるため。
23,おすすめ,0,"映画化もした有名なゲーム
異変があれば引き返し、なければ進むを繰り返しゴールを目指す
新異変追加されたらしいけど結局どれだったのか分からず💦
既プレイだったので1hほどで全実績解除",neutral,ボリューム不足,ボリューム・価格,短時間で全実績解除できたため。
24,おすすめ,2,"異変探しゲームの原点、今更ながらプレイさせていただきましたが、舞台が駅の地下通路となっていて、様々な間違いを探すというものですが、シンプルな作りなのでそれがかえって疑心暗鬼になり、異変がないのに悩んでしまったり、とても楽しめました。

１時間ほどでクリアできますのでサクッと遊びたい方にもオススメです。
人のプレイを見たことがある方も是非、一度ご自身で遊んでみてください！",positive,シンプルな作り,ゲームシステム,シンプルな作りが疑心暗鬼を生み出し、楽しめたため。
25,おすすめ,1,実は映画を先に観て、それから本作をプレイした。思ったのは、やはりオリジナルから体験すべきだったなと。リリース当時、怪作として結構話題にもなっていたと思う。それを横目にプレイしなかったことも少し後悔した。,negative,映画化,外部要因・映画化,映画を先に観たことを後悔しているため。
26,おすすめ,2,初めてプレイした異変探し系ゲームはコレです、とても面白く色々な方に勧めたいです。,positive,面白さ,その他,ゲームが面白いと表現しているため。
27,おすすめ,0,1回クリアしたらもうやらないゲーム,negative,ボリューム不足,ボリューム・価格,「1回クリアしたらもうやらないゲーム」という表現から、ボリュームが少なすぎることを示唆しているため。
28,おすすめ,2,値段に見合っています長くは遊べません遊べても3時間です,negative,ボリューム不足,ボリューム・価格,短すぎるプレイ時間であるため。
29,おすすめ,1,deep game,positive,深み,その他,「深い」と表現しているため。
30,おすすめしない,0,うまらん,negative,ボリューム不足,ボリューム・価格,「うまらん」という表現から、ゲームの内容に満足していないことが推測できるため。
31,おすすめ,3,good,neutral,good,その他,「good」という単なる評価であるため。
32,おすすめしない,0,"楽しそうってわくわくしながら買った
一瞬で終わった、なんか寂しかった",negative,ボリューム不足,ボリューム・価格,短すぎるゲーム内容にがっかりしたため。
33,おすすめ,1,名作,positive,名作,その他,「名作」と評価しているため。
