番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめしない,223,"FFX/X-2共にムービーでグリーンバッグ、プレイ中に強制終了、データも残らず。。。
名作なのにいつまでたっても修正されず本当に残念です。",negative,バグ,ゲームシステム,グリーンバッグや強制終了などのバグにより、プレイ体験が損なわれているため。
2,おすすめ,46,優勝,positive,ボリューム,ボリューム・価格,内容が充実しているため。
3,おすすめ,39,"かみげー
泣いた",positive,感動,その他,ゲームの内容に感動したため。
4,おすすめしない,201,グリーンスクリーン。度重なるクラッシュ。これらを放置しつつ未だ販売を続けるなんて、企業の資質を疑う。,negative,クラッシュ,ゲームシステム,頻繁なクラッシュが挙げられているため。
5,おすすめ,106,"本編クリアで60時間ほど(寄り道あり)、裏ボス倒すまで100時間ほど遊ぶことができました。
ストーリーや戦闘周りのシステム非常に良かったと思います。

各キャラの最強武器に必要なアイテムが誰が楽しめるのかわからないミニゲームで入手なのはちょっと微妙でした。
また、ダンジョンの謎解きが説明やヒントが少なくこちらもかなりストレスでした。
取り逃しのアイテムがあると回収が難しくなったりするため、中盤からは攻略サイトを見ながらプレイしました。
また、昔のゲームなのでしょうがない部分ですが戦闘画面で自分か敵を指定するときの操作方法がカメラアングルによって変わる(？）ため、100時間プレイしても慣れることができませんでした。

と、悪い点もいくつかありますがかなり楽しめた作品でした。

同梱の同人作品(？)はやる予定はありません。",positive,ストーリーや戦闘周りのシステム,ゲームシステム,ストーリーと戦闘システムが良かったため。
6,おすすめ,97,"FF10に関してはPS2,PSP,vita,PS3,PS4,steamと
何度もやって何周したか覚えていないが、未だに色あせない名作。
ターン制のバトルが好きな人には自信をもって勧められる作品。
音楽や世界観、そして当時のPS2のグラフィックとは思えない美しいムービーの数々…。
RPGが苦手な人でも遊べる公式チートも搭載されており、
ストーリーだけを楽しみたいという人にもオススメ。
他の方々が言われているゲームが落ちる等の問題は起きなかったから、
私にとっては文句なしの満点。
とりあえず『おとわっか』しか知らない奴は頼むからやってほしい。

FFX-2？
????「お前の欲しがる救いや希望はスピラのどこにもありはしない！」
(steam以外は100%までは一応やってます。)",positive,ターン制のバトル,ゲームシステム,ターン制のバトルが好きな人には自信をもって勧められる作品だと述べているため。
7,おすすめしない,143,クラッシュが多すぎる,negative,クラッシュ,その他,ゲームプレイに支障をきたすほどのクラッシュが多いと述べているため。
8,おすすめしない,29,クラッシュが多すぎてゲームになりません,negative,クラッシュ,ゲームシステム,ゲームプレイを阻害するほどの頻度のクラッシュが発生するため。
9,おすすめしない,13,"ムービーが緑画面だけになったり、突然落ちたりする
今更アプデ修正も来ないだろうし終わってる",negative,アプデ不足,ボリューム・価格,ゲームの品質が低下しているにもかかわらず、アップデートが行われないため不満を抱いている。
10,おすすめしない,7,"突然ゲームが落ちる、画面がグリーンになって進めなくなるなどバグが結構多い。
ゲームが面白いという意見もあるが所詮は25年以上前のゲームなので、イベントのスキップができない、戦闘がもったりなどプレイ中は結構モヤモヤすることが多い。というかRPGなのに戦闘が単純に面白くない。あとFFのゲーム全体に言えるが実績が単純に作業になりがちなのでその点でもおもしろくはなかった。
このゲームの価値は「ゲームとしての面白さ」というか「ストーリーの面白さ」だと感じたのでストーリーを追いたいだけなら上記のバグの件もあり誰かのプレイを見たほうが良い気がする。そのストーリーでさえ声優の演技力やセリフ回りなどでうーん…と思うことがあった。",negative,バグ,その他,ゲームが落ちる、画面がグリーンになって進めなくなるなどのバグが多いため。
11,おすすめ,270,"面白かったです！！
FFシリーズは9までしかプレイしたことがなく
「難しくないかな」「ちゃんとシステムが理解できるかな」
と不安でしたが、非常に楽しめました。

とりあえずFF10の難点を挙げれば
・ムービーの再生時にグリーンバックになるバグがあるらしく公式にて修正されていないため、プレイヤー自身が有志のパッチをゲームクライアントに当てる必要がある。
・一部の最強武器や最強技を入手するのにミニゲームのクリアが必要で、中にはそのミニゲームの難易度が非常に高く諦める場面もあった。（なくてもゲームクリアは可能）

といったところでしょうか。
総合的には非常に面白いし、戦闘システムもゆっくり考えられるので遊びやすいです！！",positive,戦闘システム,ゲームシステム,戦闘システムがゆっくりと考えられるので遊びやすいと述べているため。
12,おすすめしない,74,ゲームクラッシュが多すぎてまともに遊べない,negative,ゲームクラッシュ,ゲームシステム,ゲームクラッシュが頻繁に発生するため、プレイに支障が出ているため。
13,おすすめ,42,"ゲーム自体はとても面白く、懐かしいのですが…ムービーになると一面のクソミドリになる事案が多発します。
一面のクソミドリを眺めながら音声だけを聞かされるのはなんとも言えない気持ちになります。

ですが、ゲームは本当に面白いのでオススメです。
個人的にスフィア盤システムが大好きなので、やり始めると止まらないです。",positive,スフィア盤システム,ゲームシステム,スフィア盤システムが面白いと述べているため。
14,おすすめしない,12,むずかしい,negative,むずかしい,ゲームシステム,「むずかしい」と表現されているため。
15,おすすめ,28,名作だから。一度クリアしているのですが、またやりたくなって再度プレイしてます。,positive,名作,その他,「名作だから」と述べており、ゲームに対する肯定的な感情が伺えるため。
16,おすすめ,150,FINAL FANTASY Xだけで良いけどね、X-2は無理,negative,X-2,その他,FFXのみを推奨しているため。
17,おすすめ,40,"情感マシマシの良作。
主要キャラが良い子強い子で、だからこそ辛い。
ミニゲームとボス戦ザコ戦のバランスが本当に終わっていてテンポが著しく悪くなるところが欠点。
パッチをあてればグリーンスクリーンやクラッシュ問題は無くなるのでそこは無問題。
キマリ好き。",positive,主要キャラ,その他,キャラクターの性格が魅力的で感情移入しやすいと述べているため。
18,おすすめしない,431,"ゲームとしての面白さは文句なしですがsteamでの購入は下記の理由からオススメしません。
①戦闘やイベントなどのシーン切り替えのタイミングでフリーズが頻発する
②イベントムービー時に画面が緑一色となり上手く再生されない（音声は流れるしムービー後は通常に戻る）",negative,フリーズ,ゲームシステム,戦闘やイベントシーンの切り替え時に頻繁にフリーズするため、プレイに支障をきたす。
19,おすすめ,9,普通に面白いですが仕様上VRAMが2GBまでしか利用できないらしく、結構な頻度でムービーがグリーンアウトしたり敵モンスターが透けるなどの不具合があるため　FFX HD 4GBパッチ　などで調べるとその不具合を解決する方法が出てくるので遊ぶ前に一度適応してからプレイすることを推奨します,negative,不具合,ゲームシステム,VRAMの制限によるグリーンアウトや敵モンスターの透けなどの不具合が多いため。
