番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめしない,0,"RTC3が神ゲーだったためかこれはかなりのクソゲー
RTC3は日本語翻訳されていないが難なくプレイ出来たが
中途半端な翻訳がイラつく"
2,おすすめしない,0,"一時間やらなくたって分かるクソゲー。まだこれをやるならプラネットコースターをお勧めする！
あっちのほうが翻訳がしっかりしてるし。
と、なぜ割と新しいはずなのにポリゴンが古いのか教えてもらいたい"
3,おすすめしない,1,何年も待ったのに
4,おすすめしない,69,"J'ai beau être patient, compréhensif, tolérant .... Ce jeux est injouable ! Truffé de bug, au démarrage, au lancement d'une campagne, il plante systématiquement."
5,おすすめしない,12,"名前や権利主張を振りかざした偽物
ユーザーが何を求めているのか解らなくなって
迷走した結果出来上がった作品とでも言いましょうか。
なので、やらされている感がすごい。
これはこう置け！こう使え！的な押しつけがましさ満載。
アーリーアクセス時代に比べると、ピープの顔もましに
なったけど、これは好みの問題ですね・・・

アーリーアクセス版に比べると、ゲームとして成立する
レベルまで上がったと思います。でもなんだろう、
あっちに比べてしまうと、ワクワク感や胸の高鳴りも
感じられない・・・。コースターのビルドとか良い面も
ありますよ。

もう一方のゲームは割とサクサク動くＰＣ環境だけど
こっちはピープが少しカクついて、割とモッサリしてます。
正規版になって少しましになりましたが、基本は一緒でした。

まぁとりあえず遊べるレベルにはなっているので、
買うのを止めろとまでは言いません。
合うか合わないかは人それぞれ。"
6,おすすめしない,14,"[h1] 割とアリなのかもしれない	[/h1]
アーリーアクセス版を経てついに正式版が発売されたのでざっとプレイしてみてレビューです
一言で言えば驚かされました
すごく長かったロード、アトラクションを設置するたびに起きた3秒のフリーズ、まともに設置できず判定の難しかったジェットコースターの設計
[u] 最初のゴミみたいなでき	[/u]を知ってるからこそ今回正式にリリースされたバージョンをプレイしてみてその快適さに感動しました
遊園地シミュレーションゲームとしては一応成立しているので[b] アリっちゃアリなのかもしれない	[/b]

[h1] プラネットコースターか　こっちか	[/h1]
プラネットコースターでも遊んでいる人間全てがこう言うでしょう[b] 「プラネットコースターだ」	[/b]と
自分自身もその一人として否定しません
プラネットコースターのほうが楽しく、できることのほうも圧倒的に多い
ただそのできることの多さ故に圧倒されサクッと遊べない点があちらの唯一の欠点でしょう
ですからプラネットコースターを持っていて、且つもう少しサクサク遊びたい人が初めて購入を考えるべきだと思います
それから値段設定ですが今の値段3480円は高すぎます
もし今の自分がこのゲームに値段をつけるのであれば1300円が妥当といったところでしょう　
そのくらいに安くなったら「おすすめ」にしようと思います

[h1] 総評	[/h1]
[spoiler] プラネットコースター買っとけばいいんだよ	[/spoiler]

[h1] 追記	[/h1]
プラネットコースターをパクった建築システムが入ってきたせいかまーた重くなりました
ミドルレンジのゲーミングパソコンだと遊べません
かといってハイエンドのゲーミングパソコンで遊ぶほどでもありません"
7,おすすめしない,25,せっかく6000円も買ったのに一瞬にして使えない状態に相当にガッカリした何やってんだ！お勧めできん！！(激怒)
8,おすすめ,166,"DLC入れて、楽しいです。ただ、客（ピープ）の好き嫌いが多く、ジェットコースターも判定が厳しいため、かなり前作のRCT3よりムズイです。そしてオブジェクトも少なく、ジェットコースターの種類が少なかったです。さらに、従業員の休憩室的なものが追加されました。そこがちょっとな～と思いました。その分、傾きが自由に決められて。道が曲線も作れます。個人的に良い部分悪い部分半々で、やる人により、好き嫌いが分かれる作品だと思います。自分は好きですがね。今後のバージョンアップに期待します。
ロードなげええええええええええええええええええええええええええええええええええ
しかも開いたと同時に真っ暗になってそのまま動かない！！再起動しても無理！！！
エイリアンウェアなのに！！！"
9,おすすめしない,34,ゲーム自体面白いけどフリーズ多い
10,おすすめしない,3,"アーリーアクセスにしても動作が不安定です
私の環境では起動すらしなくなりました（ゲームキャッシュ削除してから再度ダウンロードしても・・・）

購入される方は覚悟の上で購入されることをおすすめします"
11,おすすめしない,0,"少しでも低スペックだとPCが１００％固まります。
ハイスペックPC所有の人以外はスルーお勧め"
