番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめ,908,iiii,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
2,おすすめ,1889,沼,negative,沼,その他,「沼」という言葉から、ゲームプレイが苦痛で抜け出せない状態であると推測できるため。
3,おすすめ,195,fps下手でも立ち回り次第で勝てて楽しいです！！,positive,立ち回り,ゲームシステム,FPSが苦手でも立ち回りが重要である点が面白いと述べているため。
4,おすすめしない,3,ランチャーがくそ　馬鹿過ぎ　無料じゃなくて金よこせよ,negative,ランチャー,その他,ランチャーに対する不満からネガティブな感情を抱いているため。
5,おすすめ,293,mamaよき,positive,mama,その他,「mamaよき」という表現から、肯定的な感情が読み取れるため。
6,おすすめ,1024,"このゲーム面白いときはガチおもろいよ
おもんないときマジおもんないけど
でもおかげで情緒不安定にしてくれて凄い振り回されるから楽しいよ",positive,振り回される,その他,ゲームの面白さとつまらなさを交互に味わうことで、感情が不安定になることを「楽しい」と表現しているため。
7,おすすめしない,27,マッチングしなさすぎる,negative,マッチング,その他,ゲームとプレイヤーの好みが合っていないと感じているため。
8,おすすめしない,551,"中毒性50%
イライラ30%
快感20%",positive,中毒性,ゲームシステム,中毒性の高さから、ポジティブな感情が生まれているため。
9,おすすめしない,334,さようなら,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
10,おすすめしない,130,f,negative,映画化,外部要因・映画化,映画化に関する不満が強く、ゲームそのものへの評価は低い。
11,おすすめしない,1230,ソロでも毎回フルパにぼこられるクソゲーなので、友達のいない寂しい人は大人しくアンインストールしましょう,negative,ボリューム不足,ボリューム・価格,ソロプレイでも毎回フルパに負けるという内容から、ゲームのボリュームが足りないことが不満として挙げられているため。
12,おすすめしない,0,"ランクマッチシステムがくそ。すべてを台無しにしている。ユーザーが減るのも納得のゲーム。
どのロールをやってもマッチがつまらないものになるくらいの悪いシステムを採用している。
チャット欄もトキシックしかいないあまりにもおすすめしないゲーム。
大会を見るくらいがちょうどよく、ソロでプレイするならストレスがたまり寿命がへるのを覚悟でやったほうがいいだろう（笑）",negative,ランクマッチシステム,ゲームシステム,マッチングの悪さとユーザーの態度がストレスを誘発するため。
13,おすすめしない,174,ランク調整が終わってます,neutral,ランク調整,その他,ランク調整が完了したことを伝えるだけの文章であるため。
14,おすすめ,154,ウーヤン、マーヤン…？,negative,映画化,外部要因・映画化,ゲームの内容ではなく、映画化に関する話題であるため。
15,おすすめしない,224,ナーフや強化が適切ではない。味方をキャリーしたところでいつの間にか死んでいる。面白くない。,negative,ナーフ・強化,ゲームシステム,バランス調整の不備がゲームプレイに不満をもたらしているため。
16,おすすめしない,42,これって、、、、,negative,不明瞭さ,その他,文章が「これって、、、、」としか書かれていないため、感情や要因を特定することができません。
17,おすすめしない,171,"まず治安が悪いです。非ランクでも他のFPSゲーのランクの２倍ぐらい暴言、nice DPS (皮肉)等がめちゃくちゃチャットで来ます。初心者だからとかじゃなく、初心者は来るなよって平気で言われます。対戦相手じゃなくずっと他のFPSとは違った意味で味方にストレスを感じます。正直楽しめないです。
次に良いところ、キャラ数が多くて最初から使えるので飽きはしないです。いろんなキャラを試せていいと思います。ただ前に記述したとうり、非ランクで好きなキャラ使いたくても戦犯すると味方からキャラ変えろ等暴言が飛んできます。
私だけかもしれませんがすごいストレスです。ただ試合前にいつも挨拶してると多少は暴言が減ったような気もします。
総評、ゲーム自体はかなり面白いと思います。新キャラがバランスブレイカーだったり、DPSに偏ってたりはしますが、ただ本当にプレイヤーがひどいと思います。フレンドさんとかとフルパで組めたら超楽しいです。",negative,暴言,外部要因・映画化,対戦相手からの過度な暴言がストレスになり、ゲームを楽しむことができないため。
18,おすすめ,645,tanosii,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
19,おすすめしない,20,クイック最初の数試合連勝したら途端に格差マッチが始まり、レート解禁の50勝に到達することが困難になる。,negative,格差マッチ,ゲームシステム,格差マッチによりレート上昇が難しくなるため。
20,おすすめしない,2,ランクが壊れているの一言につきる。最高ランクプラチナ5プレイ時間70時間の人が次のシーズンマスターになったりするゲームです。このゲーム程運営の思った通りのマッチングシステムになっているゲームは存在しないでしょう。,negative,マッチングシステム,ゲームシステム,運営の意図したマッチングシステムだと作者が述べているため。
21,おすすめしない,179,シオンのエロあるよ（笑）,neutral,シオンのエロ,その他,ゲーム内容に関する感想ではなく、キャラクターの性的な描写に注目しているため。
22,おすすめしない,4,５０勝できなくてランクできません　SSDの無駄なのでアンインストールします,negative,ボリューム不足,ボリューム・価格,50勝できてランク付けできないという記述から、ゲームのボリュームが足りないと感じているため。
23,おすすめ,31,w,negative,組織の問題,外部要因・映画化,映画化や組織の問題に対する不満を述べているため。
24,おすすめしない,41,ごみ,negative,ごみ,その他,「ごみ」という表現から、ゲームに対するネガティブな感情が強いと判断したため。
25,おすすめしない,21,クイックでキレるようになったら辞め時,negative,ボリューム不足,ボリューム・価格,「クイックでキレるようになったら辞め時」という表現から、ゲームのボリュームが少なすぎることを示唆しているため。
26,おすすめしない,104,メモリが破壊されました,positive,精神が壊れる,その他,ホラーゲームとして「メモリが破壊された」という表現から、恐怖や精神的な影響を肯定的に受け止めているため。
27,おすすめ,12,おもしろいですよ,positive,おもしろい,その他,「おもしろいですよ」という表現から、ゲームを肯定的に評価しているため。
28,おすすめしない,33,冗談とか抜きでこのゲーム面白いと思う人いるんですか？正気か？,negative,面白さ,その他,作者はゲームが面白くないと感じているため。
29,おすすめしない,5,粘着しかいない人生における有限な時間を無駄にするのに持って来いのゲーム,negative,ボリューム不足,ボリューム・価格,「有限な時間」を無駄にするにふさわしいと皮肉った表現から、ボリュームが足りないことが推測されるため。
30,おすすめしない,269,OWから逃げました。,negative,OWからの逃亡,その他,ゲームをプレイしたくないほど嫌な体験だったことを示唆しているため。
31,おすすめしない,170,公式が勝率50%になるよう調整していると公言している最高のゲーム。,positive,勝率50%,ゲームシステム,公式が勝率50%になるように調整していると公言している点が、プレイヤーの心理を揺さぶる要素として評価されているため。
32,おすすめしない,5,gomi,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
33,おすすめしない,115,goみ」,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
