番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめ,66,フレンドと一緒にやったりすると面白いしmodなどを入れたりするとさらに面白い良い人狼ゲームです,positive,mod,その他,modを入れることで更に面白くなるという記述から。
2,おすすめ,19,一度やるとしばらくやめられない,positive,中毒性,ゲームシステム,「一度やるとしばらくやめられない」という表現から、ゲームシステムに引き込まれる楽しさを感じているため。
3,おすすめ,1,"今日のごはん
・豆乳
・サラダチキン（旨塩）
・納豆",neutral,食事内容,その他,今日の食事の内容が記載されているため。
4,おすすめ,190,good,neutral,good,その他,「good」という単なる評価であるため。
5,おすすめしない,1,人生を壊されました,negative,人生を壊された,その他,ゲームが人生を破壊したと表現しており、ネガティブな感情を表しているため。
6,おすすめ,194,普通におもろいが運営は早くバグを修正しろ,positive,おもろい,ゲームシステム,「普通におもろい」と述べているため。
7,おすすめ,72,"非常に素晴らしい役職、マップ、仕様があり、毎日楽しんでいる。
youtubeで昔から見ていてついにpc版を購入した。
among usは歴史に名を遺す名作だと思う。",positive,役職・マップ・仕様,ゲームシステム,豊富な役職、マップ、仕様が挙げられており、毎日楽しめるという感想から。
8,おすすめ,10,"買ったけど一緒にやる友達がいないことを思い出しました。
Twitterなどの野良募集でやりましたがコミュ障すぎてゲームになりませんでした。
自分には向いてなかったです；；友達作ってから買いましょう。
ゲーム自体は良いと思いました。",negative,コミュ障,その他,コミュニケーション不足がゲームプレイを阻害したため。
9,おすすめ,6,友だちと遊ぶときにするパーティーゲームはアモアスは確実に入るゲームです！面白いです,positive,面白さ,その他,文章全体から、友人との遊びに最適で楽しいゲームであるというポジティブな感情が伝わってくるため。
10,おすすめ,0,"[h1]カジュアル人狼ライクのファーストペンギン [/h1]
マダミスなどで推理慣れしてない初心者には敷居が高く、ごく一部のマニアのたしなむものであった人狼。
しかし！突如として現れたコミカルでキュートな世界観のアクション系人狼！それがAmong US！

アップデートで役職が増えた今でもとにかくすべてが直感的でわかりやすい。
運営さんもプレーヤーの遊びから機能を追加してくれるので好印象。頑張れ。
(スマホ版でもプレイ：100時間超)",positive,直感的な操作性,ゲームシステム,わかりやすさと直感的な操作性が好印象を与えているため。
11,おすすめ,1,"面白いです。誰とやるかで面白さが変わると思います。
めちゃくちゃ仲のいい友達というよりかは、あまり詳しく知らないクラスメイト・会社の同僚あたりの距離感の人と遊ぶとちょうどいいかも。",positive,誰とやるか,その他,友達との関係性によってゲームの面白さが変わるという意見から、ポジティブな感情が読み取れるため。
12,おすすめしない,21,"one of the worst games humanity has ever created. this is just a torture device disguised as a game. nothing about this screams fun unless you like being punished for everything you do. it doesn't matter if ur crew or impostor, you will be punished so by all means stay away from this trash.",negative,punishment,ゲームシステム,プレイヤーが何をするにも罰せられると表現しており、楽しさを全く感じられないことを示唆しているため。
13,おすすめしない,0,"記憶にも残ってない
何のゲームなのかも知らない
よって高評価　です",neutral,記憶がない,その他,ゲームの内容を覚えていないため、感情的な反応が示されていない。
14,おすすめ,71,めっちゃおもろい。はまる人にははまると思う。,positive,シンプルさ,ゲームシステム,「はまる人にははまる」という表現から、ゲームのシンプルな魅力が評価されているため。
15,おすすめしない,22,mal optimizado se lagea,negative,lagea,ゲームシステム,ゲームがラグするため。
16,おすすめ,11,現実版人狼ゲームみたいな感じで面白い,positive,人狼ゲーム,ゲームシステム,人狼ゲームのようなゲームシステムが面白いと述べているため。
17,おすすめ,2,"プレステやスマホ版等で既プレイ。
環境が変わってpc版を購入。

面白さは言わずもがな。",positive,面白さ,ゲームシステム,ゲームの面白さが評価されているため。
18,おすすめしない,58,ゲーム性によるものですが、プレイヤー層は....あまりよくないです。,negative,プレイヤー層,その他,プレイヤー層が良くないという記述からネガティブな感情が読み取れるため。
19,おすすめ,99,how to watch idiot's fight? try this game,negative,idiot's fight,その他,「idiots fight」と表現し、ゲームの内容を皮肉っているため。
20,おすすめ,145,部屋の名前酷いことになってたけどなくなってほしくなかった。,negative,部屋の名前,その他,部屋の名前が気に入らなかったため。
21,おすすめ,65,"面白い。説明不要

人狼ゲーム同様に死んでからはけっこう退屈
野良マッチはイマイチなのでdiscordサーバー等に所属して遊ぶゲーム",neutral,野良マッチ,その他,野良マッチがイマイチだと述べているため。
22,おすすめしない,2822,このゲームはチーターが多くまともにプレイもできませんし普通に初心者が多すぎて議論にもなりません、まともに遊ぶゲームはなくおふざけ感覚で遊ぶがいいと思います、ガチで人狼ゲームを楽しみたい人はしない方が良いです、後出会い厨や、害悪プレイヤーが多いのと年齢層が大部低いので見ててチャットがイライラします、ストレスがたまるのでやらない方が良いです。,negative,チーター・初心者の多さ,ゲームシステム,チーターが多く、初心者が多く議論にならないためまともにプレイできないと述べている。
23,おすすめ,24,くっそおもろい,positive,シンプルさ,ゲームシステム,「くっそおもろい」という表現から、ゲームが単純ながらも楽しめる要素があることが推測できるため。
24,おすすめ,249,"人狼初心者でもとっつきやすいゲームではなかろうか
スマホ・PC・PS5・switchなど幅広くクロスプレイに対応してるので友達誘いやすいのはいい

野良は私がやったなかでは民度が悪すぎるのでおすすめしませんが
友達とやる分には楽しめるのでおすすめ",positive,クロスプレイ,ゲームシステム,幅広いプラットフォームに対応しているクロスプレイ機能が友達とのプレイを容易にするため。
25,おすすめ,524,GOD,positive,シンプルさ,ゲームシステム,シンプルなルールが魅力的であるため。
26,おすすめ,18,いやあ、めっちゃおもろい,positive,おもろい,その他,「めっちゃおもろい」という表現から、ゲームを楽しく感じたことがわかるため。
27,おすすめしない,28,専門用語を使うチー牛が多すぎる初心者に優しくしろ　このゲームやるやつとか弱者男性だろ＾＾,negative,チー牛,その他,「専門用語を使うチー牛」と蔑称を用いることで、ネガティブな感情を表現しているため。
28,おすすめ,3,,neutral,データなし,その他,レビュー本文が空です。
29,おすすめ,15,あもんｇＵｓ。,neutral,あもんｇＵｓ,その他,ゲーム名のみが書かれているため。
30,おすすめ,6,まあこれが間違いないね、（　＾ω＾）,neutral,評価,その他,文章から感情が読み取れないため。
31,おすすめ,425,.,negative,映画化,外部要因・映画化,映画化の影響で、ゲームの内容が歪められていると感じているため。
32,おすすめ,38,"[h1]私はこれで嘘をつく練習をしています[/h1]

スマホからPCまでクロスプレイに対応している上に参加上限も15人と多めなので、Discordのコミュニティで一緒に遊ぶのに適しています。",positive,クロスプレイ,ゲームシステム,スマホからPCまで対応しているクロスプレイ機能がDiscordでのコミュニティプレイに適しているため。
33,おすすめ,145,"神ゲー
ハマるとほんと時間溶ける",positive,時間溶ける,その他,ゲームに夢中になり時間を忘れてしまうという表現から、ポジティブな感情が読み取れるため。
34,おすすめ,27,Its so fun!!!!,positive,fun,その他,「so fun!!!!」という表現から、ゲームを非常に楽しんでいることがわかるため。
35,おすすめ,5,記憶に難がある人はあまりオススメ出来ませんが楽しむことはできます！記憶力が異常に低すぎない人にはオススメです！記憶力が低すぎる人は”自分がどこに行った”や”〇〇が起きた時に自分はどこにいた”などが全く覚えてなくて戦犯になりかねないにプラス移動した場所の記憶が曖昧なせいで何もしゃべれませんが楽しいです！,positive,記憶力の低さ,ゲームシステム,記憶力が低い人が楽しめる点を強調しているため。
36,おすすめ,2,涙目のルカと晩酌しました,neutral,晩酌,その他,ゲーム内容とは関係なく、個人的な行動が述べられているため。
37,おすすめ,842,うーん...なんでこのゲームこんなに遊んだんだろうか,neutral,ボリューム不足,ボリューム・価格,遊び尽くしたという感想から、ボリュームが少なかったと感じているため。
38,おすすめしない,4,機嫌を損ねるだけのゲーム,negative,機嫌を損ねる,その他,「機嫌を損ねるだけのゲーム」という表現から、ネガティブな感情が読み取れるため。
39,おすすめ,2,最近役割とかが多くなってきて低スペック脳みそでは処理できなくなってきました。私には難しすぎました、、、,negative,役割の数,ゲームシステム,多くの役割が追加されたため、レビュー者は処理しきれなかったと述べている。
40,おすすめ,358,mettyaomoroi!!!!!,positive,mettyaomoroi,その他,「mettyaomoroi」という表現がポジティブな感情を表しているため。
41,おすすめ,36,たのしいよ,positive,たのしい,その他,「たのしい」という言葉から、ゲームに対する肯定的な感情が読み取れるため。
42,おすすめ,70,時間が溶けるほど面白いのでやってください,positive,面白さ,その他,「時間が溶けるほど面白い」という表現から、ゲームへの肯定的な感情が強いことがわかるため。
43,おすすめ,20,最高,positive,シンプルさ,ゲームシステム,シンプルなルールが魅力的であるため。
44,おすすめ,2,友達を顔釣りして殴り合うゲーム,negative,顔釣り,その他,「顔釣り」という表現が不快な印象を与えているため。
45,おすすめしない,5,みんなと遊んでみたら信じてた友達に殺され非常に悲しい気持ちになりました。,negative,裏切られた,ゲームシステム,友達との信頼関係が崩壊した体験から悲しみを感じているため。
46,おすすめ,82,友達ぶっ壊しゲー,negative,友達ぶっ壊し,その他,ゲームが人間関係を破壊するという意味でネガティブな表現をしているため。
47,おすすめ,6,a,negative,映画化,外部要因・映画化,映画化の影響でゲームの内容が変化したことに不満を述べているため。
48,おすすめ,3,野良でやると「は？なにこいつ」みたいな空気が一生漂ってるので、ちゃんと友達を用意したほうがいいかも！！！,negative,野良プレイ,その他,野良プレイでのコミュニケーションの悪さがゲーム体験を損なうと述べているため。
49,おすすめ,16,,neutral,データなし,その他,レビュー本文が空です。
50,おすすめ,514,"人狼ゲームです。
二つ陣営があり、開始時ランダムで選ばれる。
クルーメイト（村人陣営）とインポスター（狼陣営）
ルールは大雑把に言うと
村人はタスク（仕事）を終わらせるか、狼を会議で全員追放すれば勝ち
狼は村人を狼陣営と同数になるまでキルするか、村人を追放すれば勝ち
死体発見で招集会議や、緊急会議ボタンがマップ内にあり、それを押す事で会議ができる。
最初は分からない事が多いと思いますが、
人狼ゲームと比べると、死んだ後もタスクをやらないといけないので
タスク終わるまではやる事があります。（死してなお仕事をやらなければいけないブラック企業の社畜かな？）
また、村人は自分の潔白を証明する為に
移動した経路を会議で証言します。他の人と行動するとお互い身の潔白を証明できるので、一緒に行動すると良いですね。
値段はワンコインで買いやすく、ゲームとしても楽しめ、要求スペックも低いのでお勧め。
野良はVC使わないチャットオンリーなので、私の様な聞き専勢や初心者さんでも安心
最初は敷居が高く感じるジャンルのゲームですが、
初心者部屋とかもあるので、思い切って飛び込んでみよう！",positive,ルール,ゲームシステム,人狼ゲームと比較して死後もタスクをこなす必要があるというユニークなルールが挙げられているため。
51,おすすめ,50,"友達がガチ焚きしてた。このゲーム人死んでるし物騒ですよ
やめたほうがいいかも",negative,ガチ焚き,その他,「ガチ焚き」という言葉から、友達の行動が問題視されており、ゲーム自体にネガティブな感情を抱いているため。
52,おすすめ,89,面白いです,positive,面白さ,その他,「面白いです」という表現から、ゲームを肯定的に評価しているため。
53,おすすめ,6,おもろい,positive,おもろい,その他,「おもろい」という表現から、ゲームを楽しくと感じていることがわかるため。
54,おすすめ,129,nice!!,positive,ルール,ゲームシステム,「ルール」がシンプルで分かりやすいと評価しているため。
55,おすすめ,82,"ガチでフレンドさえいればいっぱい面白いんだよ……フレンドさえいれば……
問題はフレンドが付属していないこと
知らん人とやっても大して面白くないこと
フレンドのフレンドみたいな人とやっても気を使って楽しめないこと
少なくとも1人で買ってやるゲームではないです

大学生の時にやればよかった……",negative,フレンド不足,外部要因・映画化,友達と遊ぶことが必須であるため、一人でプレイすると面白くないと述べている。
56,おすすめ,14,神ゲー,positive,神ゲー,その他,「神ゲー」という表現から、ゲームに対する肯定的な感情が強いと判断したため。
57,おすすめ,1,"おもしろいー
小学生のレクレーションとかでやれば盛り上がること間違いなし",positive,ルール,ゲームシステム,シンプルなルールが、小学生でも楽しめる要素となっているため。
58,おすすめ,22,omoroi,negative,映画化,外部要因・映画化,映画化の影響でゲームが過剰に宣伝され、本来の魅力が見えなくなっていると感じているため。
59,おすすめ,13,"スマホの無料版でいいじゃん！って思う人いると思います。でも正直遊んでみるとPC版の方が断然おすすめします。理由は３つあります。
- チャットが爆速（keyboardだからチャットしやすくてミスも減るしよりゲームを楽しめる）
- 操作めっちゃ楽だし画面大きいから操作ミスが起きない
- modとか入れてVCしてみたりいろんな役職入れてみたりできておもろい。（特にVC mod)",positive,チャットの爆速さ,ゲームシステム,キーボードによるチャットがしやすいので、ミスも減り、よりゲームを楽しめるため。
60,おすすめ,13,わたしは怪しくありません。,neutral,文脈不明,その他,レビューの内容が短く、感情や要因を特定することができません。
61,おすすめ,1293,非常に良い,positive,ルール,ゲームシステム,シンプルなルールが評価されているため。
62,おすすめしない,6,なんか、おちる。まじでいらいらする。,negative,いらいら,ゲームシステム,「おちる」「いらいらする」という表現から、ゲームシステムに不満を感じている。
63,おすすめ,42,"нельзя купить скин пушина, говно",negative,スキン購入不可,ボリューム・価格,スキンを購入できないという不満が表明されているため。
64,おすすめ,10,Good game it's rlly fun to play I recomend it,positive,シンプルさ,ゲームシステム,「rlly fun to play」と表現しており、ゲームの楽しさを強調しているため。
65,おすすめ,53,たーのしー！,positive,シンプルさ,ゲームシステム,「たーのしー！」という表現から、ゲームが楽しんでいることがわかるため。
66,おすすめ,8,みんなやれえええええええええええええええええええええ」,positive,シンプルさ,ゲームシステム,ルールがシンプルで、誰でも楽しめるため。
67,おすすめ,21,Good.,neutral,Good,その他,「Good」としか書かれていないため、感情が明確に読み取れない。
68,おすすめ,45,おもしろい,positive,おもしろい,その他,「おもしろい」と直接的に評価しているため。
69,おすすめ,220,MODMODMOD！,negative,MODMODMOD,その他,ゲーム内容に対する不満を表しているため。
70,おすすめ,163,おもろい,positive,おもろい,その他,「おもろい」という表現から、ゲームを楽しく感じたことがわかるため。
71,おすすめ,18,"人狼ゲームが動けるようになったゲームです
普通の人狼ゲームと違って動いてすることができるので普通の人狼ゲームとは違う楽しさがあります",positive,動いてることが出来る,ゲームシステム,人狼ゲームに動きが加わったことで、従来の人狼ゲームとは異なる楽しみ方ができるため。
72,おすすめ,166,"ゲームにある程度慣れてくると、細かいゲームバランスがいくつか気になった。
キル位置にペットが残る仕様を消せるようにして欲しい。視認情報や位置の偽装などができずに嘘をつくリスクが高すぎる。
『探偵』という役職が強すぎてインポスター側が不利すぎるため、常時アドミン使えるインポスターみたいなの追加して欲しい。ペットが残る仕様と相まってより不利になっている。
停電サボタージュを直すときにかち合いが起こるため、誰かの視点で直せば解除できるようにして欲しい。
インポスター同士の役職が分かるようにして欲しい。そうすればある程度立ち回りを考えることができると思う。
ゲームは楽しいので身内集められる人にはおすすめ",negative,ゲームバランス,ゲームシステム,細かいゲームバランスの調整を求めているため。
73,おすすめ,14,gud game,positive,ルール,ゲームシステム,シンプルで分かりやすいルールが評価されているため。
74,おすすめ,468,"議論ができない人とかもいるけど、基本的にみんな議論とか話し合いができる人が多いし。
荒らしも少なめ、新規の人にも優しい人が多い。あと何より対人ゲーだから飽きない。
実績33個中32個獲得してて、やり込んでると自負している私も、
やり始めたらやめれない某お菓子みたいな楽しさもあるし。めっちゃ悪かった記憶力もある程度上がった。
すこし高圧的でインポスターへのリスペクト的なものがない人もいるけど。
みんないい人で楽しい!!",positive,対人ゲー,その他,議論や話し合いを楽しめる点、そして飽きない点が挙げられているため。
75,おすすめ,33,いいげーむです,positive,ルール,ゲームシステム,シンプルなルールが評価されているため。
76,おすすめ,3,すごいゲームです！,positive,ルール,ゲームシステム,シンプルなルールが魅力的であるため。
77,おすすめ,7,"俺は誰も殺していないんだ。
なんで誰も信じてくれないんだ！",negative,裏切られた気持ち,ゲームシステム,仲間からの信頼を失い、孤立している状況が表現されているため。
78,おすすめ,369,ホロライブコラボを3倍でいいから再販してくれ,positive,ホロライブコラボ,外部要因・映画化,ホロライブとのコラボが魅力的であるため。
79,おすすめ,1,"騙し合いゲーム元祖
復帰勢には役職がわからない😁",positive,役職がわからない,ゲームシステム,役職がわからないという要素が、騙し合いゲームの面白さを引き出しているため。
80,おすすめ,8,インポスター側もクルー側も勝利が五分五分でとてもいいバランスのゲームだと思いました,positive,バランス,ゲームシステム,インポスター側とクルー側の勝利が五分五分である点が好印象だったため。
81,おすすめ,64,"友人との騙しあい、殺し合い、疑い合いのゲームです。
非常に楽しいのでおすすめ",positive,騙しあい,ゲームシステム,「友人との騙しあい、殺し合い、疑い合いのゲーム」と表現されているため。
82,おすすめ,6,"オンラインではしたことありませんが、身内でした時はとても面白かったです！
ただ殺し足りするだけじゃなく、ロールがあり、クルーでもできることが多く、インポスター側もただ殺すだけじゃなくアクションが増えています。

おすすめは対戦しつつも、設定で微調整するのがいいと思います。

安くて面白い！人数が集まるならおすすめできる作品です！",positive,ロールの多様性,ゲームシステム,クルー側もインポスター側も、単なる殺し合いだけでなく、様々なアクションができるため面白いと感じている。
83,おすすめ,784,p,negative,映画化,外部要因・映画化,映画化の影響で、ゲームの内容が歪められていると感じているため。
84,おすすめ,4,我ながらこんなに簡単に嘘がつけるのだなとびっくりしました。普段遊んでいる友達に『そんな息を吐くように嘘をつけるとは思わなかった！これから警戒するわ！』と疑念を抱かれてしまいました。そんなゲームです。,positive,嘘つき要素,ゲームシステム,友達を騙せる要素が面白いと感じているため。
85,おすすめしない,12,"野良Amoung us行くとよくわからん何か持ってそうな奴がいたり
フレンドとやって片方殺されるとインポスター教えてくるやつとかいたり
よくわからんかっこいい用語つかって初心者に優しくないゲロがいたり、このゲームでは様々な人間がいるという事がよくわかりました。現在の社会でもよく話題になっている ""LGBTQ"" の勉強になったりこのゲームを通して成長を感じれました。もう二度とやりません。",negative,初心者に優しくないゲロ,その他,レビュー者は、初心者に対して不親切なプレイヤーが多いことを批判しているため。
86,おすすめ,12,このゲームを野良でプレイした場合日本語でチャットすると「japanese fu0k」と言われることがあります。楽しいです。,positive,日本語チャット,その他,日本語チャットが面白く、楽しんでいるため。
87,おすすめ,119,omoroi,negative,映画化,外部要因・映画化,映画化の影響でゲームが過剰に宣伝され、本来の魅力が見えなくなっていると感じているため。
88,おすすめしない,703,"人狼系のゲームということで治安は終わってるが、部屋主の力でどうにかなることもある
少なくともインディーゲームとしてはかなり頑張っていると思う
ただ...接続が不安定で抜けた人と落ちた人の区別がつかねぇ まぁ頑張ってほしい

えー遊んでたらエグイバグがありました
霊界チャットが現世の人も見れちゃうという人狼ゲームであっちゃならんバグです
(例:緑氏は霊界のピンク氏の発言が見れてしまった 結果試合結果は変わってしまった)

よってこのバグの存在を知りつつおすすめは出来ません 変更です　失礼した",negative,バグ,ゲームシステム,霊界チャットのバグにより、試合結果が変わる可能性があるため。
89,おすすめ,30,d,negative,映画化,外部要因・映画化,映画化の影響で、ゲームの内容が歪められていると感じているため。
90,おすすめ,5,ii,negative,映画化,外部要因・映画化,映画化の影響でゲームが不快なものになったと述べているため。
91,おすすめ,26,信念を曲げるな,negative,組織の問題,外部要因・映画化,ゲームの内容ではなく、開発者の組織問題に対する不満が述べられているため。
