番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめしない,4,"ストアの早期アクセス欄に書いてある最後のアップデートの時期を見れば分かると思うが、開発はおそらく放棄されています。
これでは詐欺と言われても仕方がない。買うな。",negative,アップデート停止,ボリューム・価格,開発の放棄によりゲームが完成しない可能性があるため。
2,おすすめしない,45,絶対に買ってはいけない。開発元は開発を続けると言っていますがすでに1年半以上放置状態でアップデートの動きもなく今後のアップデートは一切望めません。,negative,アップデート不足,ボリューム・価格,開発元がゲームを放置しているため、ボリューム不足と捉えられている。
3,おすすめ,214,おもしろい,positive,おもしろい,その他,「おもしろい」と表現しているため。
4,おすすめ,104,"大変素晴らしいゲームです。
軌道力学の知識をほぼ有さない状態でも宇宙開発のロマンを存分に味わうことができて、かつグラフィックやBGMも魅力的といえます。
依然バグを多く残して開発が止まってしまったことが非常に残念ですが、今からでも遊んでみる価値は十分あると思います。",positive,宇宙開発のロマン,その他,宇宙開発のロマンを存分に味わえる内容であるため。
5,おすすめしない,7,"悲しみしかない
勘違いして購入する人を防ぐ為のネガティブレビュー",negative,勘違い,外部要因・映画化,ゲームの内容を誤解している人が購入しないようにするため、ネガティブなレビューを書いているため。
6,おすすめ,7,もともとKSP買ってたんで軽い気持ちでダウンロードしたんですけど、一日４時間くらいやるくらいはまっちゃいました。飛行機関連でレシプロを除けば何でも作れる自由度が最高です。バグは多いし求められるスペックも高いですが、CPU：CoreUltra5 225H RAM：16GB　GPU：IntelArc130Tもあれば十分遊べます。ただセールの時に買わないとめっちゃ高いんで気をつけた方がいいと思います。,positive,自由度,ゲームシステム,飛行機関連でレシプロを除けば何でも作れる自由度の高さから、一日４時間くらいやるくらいはまっちゃいました。そのため。
7,おすすめしない,7,"このゲームはTake-Two Interactive（Private Division）により運営されていました。
その開発スタジオであるIntercept Gameは閉鎖。販売レーベルのPrivate Divisionは売却と、既に活動を終了しています。
そのため今後のアップデートは望めず、早期アクセスが解除されることは無いでしょう。
もしあるとすれば開発スタジオやレーベルを購入した第3者が……。しかし2025年時点ではありません。
またゲーム開始時におけるプライバシーポリシーは、過剰なまでの情報収集を目的としており、またそれは個人に紐付けられるものになっています。（個人に紐付けられない情報収集では無い）

もしこのゲームに興味があるのなら、旧タイトルであるKerbal Space Programをプレイすることをおすすめします。https://store.steampowered.com/app/220200/Kerbal_Space_Program/",negative,開発スタジオ閉鎖,外部要因・映画化,開発スタジオの閉鎖によりアップデートが望めず、早期アクセス解除もされないためである。
8,おすすめしない,6,"絶対に買うな
後悔する2時間以上遊ぶと返金できない
旧版を買え
このゲームは駄作だ",negative,ボリューム不足,ボリューム・価格,「2時間以上遊ぶ」という記述から、ボリュームが不足していると感じているため。
9,おすすめしない,39,開発者が夜逃げしたゲー無なので購入してはいけない。,negative,開発者の夜逃げ,外部要因・映画化,開発者に関するネガティブな情報が明記されているため。
10,おすすめ,34,[,positive,恐怖演出,演出・グラフィック,ゲーム内の描写や音声が非常に怖く、精神を揺さぶる体験ができたため。
