番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめしない,88,ゲームとしての作りが雑。ユーザーを不快にすることしか考えていない要素が多すぎる。,negative,ユーザーを不快にする要素,ゲームシステム,レビューではゲームの作り込みが雑で、ユーザーを不快にする要素が多いと批判しているため。
2,おすすめ,195,"客観的な観点から見ると、Grand Theft Auto Vはあまり良いゲームとは言えません。例えばチーターのことです。ほとんどの戦闘でチーターに出くわします。彼らの無遠慮な殺戮で、普通のプレイヤーはまったくゲームを楽しめません。Battleyeのアンチチートプログラムはほとんど役に立っていないようですが、ゲームを起動している間は確かに私のRAMを使用しています。それが理解できませんが、尊重は保ちます。  
私の発言が、まだゲームを購入していない人に役立てば嬉しいです！  
独立して考え、善悪をはっきり見極めましょう。",negative,チーター,ゲームシステム,チーターの存在により普通のプレイヤーはゲームを楽しめないため。
3,おすすめ,20,wrrr,negative,映画化,外部要因・映画化,ゲーム以外の要素である映画化について不満を述べているため。
4,おすすめ,178,めちゃくちゃ楽しい,positive,楽しさ,その他,「めちゃくちゃ楽しい」という表現から、ゲーム全体にポジティブな感情が強いことがわかるため。
5,おすすめしない,153,sad,negative,sad,その他,「sad」という感情表現から、ゲームに対するネガティブな感情が読み取れるため。
6,おすすめ,17,/////,negative,映画化の配役,外部要因・映画化,映画化の配役が気に入らないため。
7,おすすめしない,84,月額のGTA＋に入らないとかなり不便。というかそれのために不便にされてる感ある。,negative,月額制,ボリューム・価格,月額課金が必要なシステムが、ゲームの利用を不便だと感じているため。
8,おすすめ,134,最高,positive,最高,その他,「最高」という表現から、全体的に肯定的な感情を抱いているため。
9,おすすめ,67,自由度が高いオープンワールドでなんでもできる,positive,自由度,ゲームシステム,オープンワールドで何でもできると表現されているため。
10,おすすめ,733,プレイステーションの時からやっていましたよこのゲーム。出てくる武器とか車のそろいもまあまあでよかったですが・・・戦争や銃撃の危険がありますからねークリアするためには安全の確保とかですかねー。オンラインではまあまあやられちゃいました・・・。ありがとうおつかれです！！,neutral,武器・車の種類,ゲームシステム,武器と車の種類の豊富さが良かったと述べているため。
11,おすすめ,24,３人の視点から進めるストーリーは斬新で面白い！！,positive,ストーリー,その他,3人の視点からのストーリー展開が斬新で面白いと評価しているため。
12,おすすめ,10,画質、音声、環境すべてが素晴らしいです。,positive,画質・音声・環境,演出・グラフィック,画質、音声、環境の素晴らしさが好印象を与えているため。
13,おすすめ,115,こうそくどうろをばすでふさぐとたのしい,positive,高速道路,ゲームシステム,高速道路を爆走するのが楽しいという表現から、ゲームシステムが好まれている。
14,おすすめしない,124,...,negative,映画化の配役,外部要因・映画化,映画化の配役が気に入らないため。
15,おすすめ,299,戦車やダンプが空飛んでる神ゲー,positive,空飛ぶ戦車・ダンプ,その他,奇抜な要素が「神ゲー」と評価されているため。
16,おすすめしない,86,"金払って購入しても会員登録しないとプレイできないとか話にならん（笑）
だったら無料ゲームにしろよwww
再度ログインもできねーしさwww",negative,会員登録,外部要因・映画化,有料ゲームなのに会員登録が必要だと、ユーザーは不満に感じているため。
17,おすすめ,34,英語の勉強にオススメ,neutral,英語学習,外部要因・映画化,ゲームを英語学習教材として推奨しているため。
18,おすすめしない,126,ばいばい,negative,ボリューム不足,ボリューム・価格,「ばいばい」という短い言葉から、ゲームの内容に満足していないことが推測できるため。
19,おすすめ,65,"普通に楽しいし神ゲー、いつも楽しませてもらってます
たまにバグってイラつくことはあるけども全然全体で見たら気にならない程度です。",positive,楽しさ,その他,ゲームが楽しいと述べているため。
20,おすすめしない,0,"頻繁にセールをやっているからいつか買おう買おうと思ってようやく買った
PS3でプレイして以来13年ぶりくらいか？グラフィックがどれくらい強化されたのか気になっていた
しかし起動したらサインインしろだのロックスターアカウントを作れだの規約読めアンチチート入れろsteamとリンクしろ…シングルプレイをちょっとやりたいだけだったのに物々しいし面倒くさすぎる
返品完了。",negative,サインイン手続き,外部要因・映画化,シングルプレイを楽しみたいだけなのに、煩わしいサインイン手続きにストレスを感じたため。
21,おすすめ,105,おおおおおおお,neutral,表現,その他,感情を表す言葉しか書かれていないためです。
22,おすすめ,38,love,positive,love,その他,「love」という感情表現から、肯定的な感情であると判断したため。
23,おすすめしない,700,プレイする必要は無い,negative,ボリューム不足,ボリューム・価格,「プレイする必要は無い」という表現から、ゲームの内容が十分ではないと感じているため。
