番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめ,66,"既に開発が終わっているけど、よく纏まっていて、個人的にはとても好きなゲーム。
お気に入りのプレイスタイルは、潜るほど強くなる敵に対して、村人を強化して何階まで潜れるかチャレンジする事。
行商人から買えるレジェンダリー装備を集めて固めれば、村人でも勇者より強くできるので、強化した村人で挑む地下攻略はっけこう楽しいです。",positive,潜るほど強くなる敵,ゲームシステム,敵の強さが深層に潜るほど高まるシステムが、プレイヤーを惹きつける要素となっているため。
2,おすすめしない,11,"開発が中止になっており現状の完成度も同じようなコンセプトの他のDFクローンに劣る
なので他のDFクローンをやろう",negative,完成度,ゲームシステム,開発中止と完成度の低さが挙げられているため。
3,おすすめしない,0,"開発が放棄されたゲームなのでアップデートが見込めません
ほかのアーリーアクセスに投資したほうが有意義でしょう",negative,アップデート見込めない,ボリューム・価格,アップデートがないため、他のゲームに投資する方が良いと述べている。
4,おすすめ,124,"住人に命令を出して眺めるのを楽しむゲームです。
やってみれば面白いです。一時は夢中になりました。
荒削りなドット絵のおじさん達がワキャワキャ働いている姿は
微塵もかわいくないのについ目を奪われます。
建材ブロックもそれなりにおしゃれだし、家具も多いです。
シージ(襲撃)や洞窟探索、雪地形や砂漠地形など楽しめる要素が
詰まってるので、決して手抜きのゲームではないです。
採掘のシステムなどもバランスは割といいと思います。

AIがいかんせん馬鹿なので、勝手に遠くまで採集に行って骨に
なってたり、食事抜きでその骨を回収しに行って骨になってたり
なかなか困らせてくれます。
あと洞窟内をわざわざ遠回りして行って骨になったりします。

建築は高さ制限があり、3階建てがやっとできるぐらいです。
(地下から建てればまた別ですが)
それがやっぱり惜しいです。高層建築はロマンですから。
それでも100時間は遊べました。wikiもあります。
前途なきゲームですが、セールなら買ってもいいと思います。",positive,楽しめる要素が詰まっている,その他,シージや洞窟探索など、様々な要素が盛り込まれているため。
5,おすすめしない,29,当初は面白いゲームだと思ったのですが現在は開発陣が開発放棄してすべて放置状態なので買わないで下さい。,negative,開発放棄,外部要因・映画化,開発陣の開発放棄によりゲームの状態が悪化したため。
6,おすすめ,450,私は好きなんだけどなー,neutral,好きだけどなー,その他,感情が明確に示されていないため。
7,おすすめしない,24,"デモ版から始め買った勢です。時間を忘れてできるゲームで、シムシティなどが好きな方は楽しめると思います。
ですが開発中止になったみたいで、これから内容が増えないとなるとなると、後半に飽きが来ると思います。
序盤は敵MOBを避けひたすら食糧を安定させるのが第一で、中盤になると地下を探索したり交易や勇者達を集めて
パーティを組ませたり、家や町を作ったりとすることが多いと思います。ですが後半になると地下探索の作業ゲーになったりします。
楽しいですがデモ版で安定してるのでそちらをお勧めします。",negative,ボリューム不足,ボリューム・価格,開発中止により後半に飽きが来る可能性があるため。
8,おすすめ,165,"火を忘れて、消えていることがあり慢性的に火打石不足です。
ですが、楽しめますｗｗｗ",positive,楽しめる,その他,「火を忘れて、消えていることがあり慢性的に火打石不足です。」という記述にも関わらず、「ですが、楽しめますｗｗｗ」と述べているため。
9,おすすめしない,115,"先に言います、面白いし、長く遊んだけれど、お勧めはしません。

Wineを通していないSteamで遊べるのは良い。実際Ubuntuで遊べています。Linuxで遊べて要求スペックが低めなのはいいところです。実際、Linux対応のゲームでも、Linuxで遊ぶ場合はWindowsよりも必要なスペックが上がりますからね。


このゲームは、最初の11人に指示を出し、町を作るなどして人口を増やしたりするゲーム。
MAPによっては、開始地点が悪いとあっさり全滅してしまいます。始めは運も必要です。

AIが良くないのでしょうか、近くに置く場所を設置しても、遠くに設置した置き場に持って行こうとすることも良くあるため、街が大きくなるとより効率の悪い状態になります。位置よりも設置した時期を優先しているのでしょうか？


タイトルがタイトルなだけに、攻略方法やらMODやらの情報を集めたりするのが困難です。いや、そんなに種類もないかもしれないけれど。ワークショップ対応してから終了してほしかった。
（今となっては似たようなゲームも増えて、MODを作ろうとするユーザーが出てくるかどうかは怪しいが）


開発が終了しなければ、おすすめにしていました。AIの改善等をして欲しかったのですが、残念です。Townsが面白くないというわけではありませんが、似ているゲームはあります。

買うならセール待ちでも良いでしょう。",negative,AIの改善,ゲームシステム,AIの挙動が不自然で、街の発展を阻害するとして開発改善を望んでいるため。
10,おすすめ,141,"素直におすすsめできるかといえば難しい。人を選びそうなゲーム
覚えることも多いし思うように住民が動いてくれなかったりとイラッと来ることもしばしば
でも楽しい。
Smicity的に街（砦）を作りつつ、住人をの仕事をうまく設定して地下ダンジョンを攻略する
そんな感じのゲームです。",positive,Smicity的な街作り,ゲームシステム,街（砦）を作り、住民の仕事を設定してダンジョンを攻略するシステムが楽しいと述べているため。
11,おすすめ,173,"ストラテジー的なRPG的な...いろいろ詰め込まれたゲーム
マイクラより、シミュレーション系好きな人ならおすすめかも",positive,ストラテジー的要素,ゲームシステム,様々な要素が詰まっていると評価しているため。
12,おすすめ,143,"RTSライクのサンドボックスゲーム　プレイヤーは村人を直接操作することはできない。
様々な「命令」を与えて、自給自足生活をさせるゲーム。ポピュラス的な感じで住民を導いて色々創るのが主なコンテンツ。

ある目的に沿ってRPしたり、お気に入りのヒーローを育てたり、巨大建築したり遊び方はマイクラやTerrariaみたいな砂場ゲーより多彩
実はMODもそこそこ上がってる　でも日本語フォーラム&wikiが死んでるから、ある程度は自力で翻訳していかないとキツイかも？

エンドコンテンツが現状無いので 飽きたらゲームクリア",positive,多彩な遊び方,その他,マイクラやTerrariaのような砂場ゲーより多彩な遊び方ができるため。
13,おすすめ,11,自分でユニット直接操作できないならともかく、指定できることが大雑把そしてコマンドも不便、画面移動もキーボード使わないといけないほど判定がシビア。世界観などははなかなか良い感じですけど、もう少しシステムが良ければこのゲームは素晴らしいゲームとなったと思います。,negative,システム,ゲームシステム,操作性やコマンドの不便さなどが挙げられているため。
14,おすすめ,36,"このゲームはマジ面白い！
村人を使って自分の村を作っていくゲームですが、作ってる途中にモンスターの群れなどが襲って来たり
村に食料が無ければ村人全員が餓死してしまったり、山や鉱山に木材や鉱石を取りに行こうものなら
モンスターに村人を殺されて数を減らされたり・・・

初めてプレイすると操作方法とかちょっとよく分からないかもですが
何度も何度も村を全滅させてるうちに・・・きっと村を全滅させない方法をご自身で見つけると思います
(私は序盤でかなり村人を全滅させてました100回ぐらい・・・=.=;)

今時珍しいゲームだと思います、最近のゲームに飽きてきた方！
このゲームをプレイしてみてはいかがでしょうか！",positive,村の運営とモンスターとの戦い,ゲームシステム,村人育成とモンスターとの攻防が面白いと表現しているため。
15,おすすめ,36,箱庭系の中ではRPG要素が強く、目的意識を持ち易いゲーム。安っぽいグラフィック、怠惰至上主義の村人とその悲鳴に耐えられるなら一度プレイ。,positive,RPG要素,ゲームシステム,目的意識を持ち易い点が評価されているため。
16,おすすめ,69,"日本語化が無いから最初はちょっと大変・・・
わかってくるとそこそこ面白い。
ただマップが少し狭いかな・・・",positive,面白さ,ゲームシステム,ゲームを理解すると面白くなるという記述から。
17,おすすめ,24,子作りして子供作れよ,negative,不快な表現,その他,性的なニュアンスを含む不快な表現のため。
18,おすすめ,8,"Dwarf Fortressに似た、ちょっとアップデートが遅い未完成なゲームです。
バージョンアップごとに食べ物の作り方が変わったり、セーブデータに互換性が無かったりがあるっぽいです。
ゲーム自体が発展していく中で発見もあれば戸惑いもあるという。そういったのを楽しめる人にはお勧めだと思います。
Java Runtime Environment(JRE)のインストールが必要です。",positive,発見と戸惑い,その他,ゲームが発展していく中で起こる変化を楽しめる人にはお勧めだと述べているため。
