番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
1,おすすめ,39,"A very well-made action game that was ruined by its title. The criticism that ""this isn't Sacred"" doesn't review the enjoyment of the game itself at all. It's probably time to set aside the fact that this is Sacred and just enjoy it as an action game.",positive,ゲームの楽しさ,その他,レビュー者はタイトルの問題点を指摘しつつも、ゲームそのものを楽しめる点に重点を置いているため。
2,おすすめ,1,"セイクリッド2とは似ても似つかない作品です。
２はオープンワールド。３は一本道の面クリゲームかな。
２は移動がけっこうしんどく、来年(2026)出る予定のリマスターではファストトラベルあたりを何とかしてほしい。
３はどんどん敵を倒しながら先へ進みミッション毎のボスを倒すことがゴール。
宝物から武器、防具は出ないのでハクスラって感じはないですね。
別ゲーなのでどんどん敵を倒してサクサク進めたい方にはお勧めかも。
２は雑魚敵が多すぎて先に進めない（多すぎて）ので本作は軽く遊びたい人にはお勧め。
１ミッションも短いし。
でもマルチできるみたいだが、どうやって呼ぶんだ？",positive,サクサク進められる,ゲームシステム,敵を倒しながらどんどん先に進めるシステムが軽くて遊びやすいと感じているため。
3,おすすめしない,5,"Sacredシリーズ未プレイです
湧いてくる敵を全滅させて先に進むを一生繰り返すゲーム
ゲームが単調すぎて無双ゲーとしてもあまり楽しめません
成長要素もこういうゲームにしては少なめに感じます",negative,単調さ,ゲームシステム,敵を全滅させて先に進むだけの繰り返しで、飽きやすく無双ゲーとしても楽しめないため。
4,おすすめしない,5,Torchlight2で良かったです。,positive,Torchlight2,その他,他のゲームとの比較から好印象を抱いているため。
5,おすすめ,19,"本作が初めてのプレイですが、とても楽しくプレイさせて頂いています。

セールの時に購入すれば、安く手に入るし、とても綺麗なグラフィックです。
挿入されるムービーも長くはないし、一回の冒険の時間が短いので、忙しくて時間があまり取れない方にもオススメ出来ます。

ただ、探索要素（武器・装備集め）なし、複雑なアクションもないので、アクションは苦手だと言う方も入りやすいと思いました。",positive,シンプルなゲーム性,ゲームシステム,探索要素や複雑なアクションがないため、アクションが苦手な人でも楽しめると思ったから。
6,おすすめ,19,"ユーザーが設定したタグにあるように、文字通りのハック＆スラッシュです。
前作にあったトレハン要素が皆無なのでそこに期待すると肩透かしを食らいます。
前作までシリーズを制作していた会社が倒産し、結果別会社が作った作品ですのでコンセプトも違うのかと思います。

限りある回復手段でギリギリ勝てるというのを面白いと思うかどうかは
その人次第ですが、ハクスラとしては十分楽しめます。

マルチに関してですが、私の場合近隣の大陸の方々とご一緒することが多くて
プレイスタイルの違いなのでしょう協力するという姿勢が感じられず、「共闘」の楽しさはまだ実感でいていません。
敵がわらわら押し寄せるタイプのゲームですので、
国内ユーザーや早くからネット環境が整っていた米国の方たちとマッチすれば
より楽しめるのではないかと思っていますが、なかなかどうして・・・・。",positive,ハクスラ要素,ゲームシステム,ハクスラの要素を楽しめるため。
7,おすすめ,19,"「ハック&スラッシュアクションゲーム + RPG」
▪物語
ゼーンという侵略者がいるため打倒の旅に出る。

▪クリア時間
難易度レジェンド(ハード)で6時間程、ＤＬＣ及び難易度ゴッド(ベリーハード)を足せば10時間程

▪ゲーム内容
・「ワイルドアームズ４」のようなボードマップに点在する各ステージをクリアしていくことで、所持できる消費アイテムや防具のレベル、及びキャラクタースキルの構築を固めていくことが出来る。
・装着できるアーツスキル(必殺技)は、二つに種別された中から一つずつ選択することが出来る。
・ステージを始める前に回避か防御かを選択することができるので、プレイスタイルをプレイヤーに合わせることが可能。
・レベルでスキルを解除させて、お金で購入という流れでプレイヤーを強くさせることが出来る。
・「ウェーブ毎に登場する敵を撃破する」、「オブジェクトギミックを一定数作動させる」という決まったイベントしか存在しない。
・難易度レジェンドでもノーマルに近い難易度で、ゴッドからはアクションゲーム化する(ある意味こちらが本番)。

▪個人的な感想
セイクリッド２がオープンワールドハクスラだったということでセイクリッド3の変わりように困惑されている方を沢山見受けられるのですが、個人的には少なからずこのセイクリッド３での方向性は間違っていなかったと思います。同じような作品でダンジョンシージ３を思い出しました。
今や数えきれないほどハクスラ作品が開発されております。その上ディアブロやグリムドーンなど、このジャンルの王に相応しき存在が牛耳っております。これからも開拓し続ける其々の王が圧倒的なのはすでに目に見えていることで、中途半端な作品は過去のものとなるでしょう。そんな現状で同じようなものを作ってしまえば罵られることは分かっていることです。
そもそも私が初めてプレイしたハクスラがセイクリッド1と2だったのですが、イマイチ印象に残らなかったので絶賛されていたのかと驚きました。個人的には「スキルポイントの再割り振りができない」、「プレイの仕方によってはメインクエストそっちのけになる」、「開拓しても変化のない世界の形」等、途方に暮れたプレイ感覚に果ててしまった記憶しかありません。
なので、今作でこうなるだろうと納得してしまいました。
何はともあれ人を選ぶ作品だとおもいます。セイクリッド２もそうでしたが、３の場合レベル上げをすると難易度レジェンドでは簡単すぎます。DLCや難易度ゴッドはプレイヤーと敵のレベルが同一化するので、DLCステージの一つをプレイすると1レベル上がるようなペースになります。一週目は難易度レジェンドでレベル上げをせず楽しむことにして、難易度ゴッドからレベル上げとスキルの構築を平行して進めていく方が良いかと思います。

▪良い点
「アクションゲーム」として楽しむことをお勧めします。ダンジョンシージ3もプレイしましたが、この作品の良かった点に「攻撃と防御or回避がスムーズであること」や「スキルの効果が感じ取れやすい」などがあります。攻撃をしながら回避をすることで、スキルによっては完全防御、90%ダメージ耐性などプレイヤースキルに応じた効果が発揮されたので楽しかったです。技を強くすることで直接効果を感じとれることもあり、そういった点はダンジョンシージ3より楽しめられました。
他にキャラクターごとの能力がハッキリしている点も良いです。
協力プレイは、回復用の陣が張れたり、仲間を援護するスキルが活用できたりと楽しかったです。
オンラインは二人となら普通に楽しめられました。プレイヤースキルを然程要求されないので良いですね。

▪気になった点
難点は「おちゃらけた物語」と「単調なステージギミック」、「スキルツリーによる能力開拓の方向性が皆無」であること。
おちゃらけた物語に関しては、ベースとなるバックストーリーがそっちのけになっている上、ダンジョンシージ3の会話選択のような”物語を楽しむ要素”もなく酷い有様でした。特にバーバリアンのセリフの意味分からなさ、もう開発のやる気が反映されているのかと感じました。
ステージギミックはまだしも、能力の成長パターンは分けてほしかった。分かりやすいのに勿体無い、ハクスラ初心者は楽しめられたはずなのに。
敵の攻撃パターンが一部同じであることも気になりました。

▪結論
シンプルなゲーム内容とか通り越して、こじんまりし過ぎる内容に値段が安かったこともあり満足はしているものの、フレと楽しむくらいでないと薄っぺらすぎる。PS3版で400円、Steamで300円、この値段なら十分すぎるぐらいかという感じです。
これダウンロードゲームなら値段相応になるんですよ。今ならダウンロードゲームより遥かに安いです(セールや鍵屋)。
個人的には十分楽しめられたのでお勧めにしておきましたが、人を選ぶ作品です。トップダウンアクションゲームも少なくなってきているので貴重ではありますが、もう少し練りこんだら良い作品になっていたかもしれません。凡作に毛が生えた程度でした。",positive,攻撃と防御or回避がスムーズであること,ゲームシステム,レビューでは、攻撃と防御や回避の操作がスムーズで、スキルを使うと効果を感じやすい点を挙げている。
8,おすすめしない,1,見下ろし型の無双ゲー。正直つまらない。爽快感が無く、あまり技量も必要ではなく、シナリオも陳腐。,negative,シナリオ,その他,シナリオが陳腐だと述べているため。
9,おすすめしない,12,"Co-opにてプレイ
見下ろし方無双ゲー
何も考えない脳死ゲー^q^",positive,脳死ゲー,ゲームシステム,「何も考えない脳死ゲー」と表現しており、ポジティブな意味で使われているため。
10,おすすめしない,50,"※50時間のプレイ記録があるが、これは不正落ちした挙句、タスクに残っていやがったせいで、
実際には一周10時間も掛からないペラペラゲー。

トレハン要素が皆無のハクスラ。

自分は過去作をプレイしたことはないが、この3は過去作とゲーム性がガラリと変貌し酷評を喰らっていることは知っていた。

が、ここまで酷い出来だとは思っておらず、想像を遥かに超える糞ゲーだったというのが率直な感想。

トレハンの要素は本当にゼロ。ドロップするのはコインと回復アイテムのみ。ボスや宝箱から気前のいいハクスラのごとく、それらが大量にドロップするのが逆に腹が立つ。

じゃあ、コインで武器や防具を買えるんじゃないのと思うかもしれないが、そうした要素も無し。防具は無しで、武器は序盤に手に入れる三種のみ。

成長要素も極めて乏しく、武器やスキルに申し訳無さ程度に成長ツリーが用意されている程度。この成長にコインを使う。が、余りまくるのでコインの存在意義も不明。

アクションは通常攻撃と装備した二種の範囲スキルを連打するだけ。HPやMP回復アイテムが出まくるので緊張感が全くない。回避もあるが、キー＆マウス操作だとWASD移動にも拘わらずポインタの方向に転がるという糞仕様で操作性までもが台無し。

ステージこそ初見では沢山あるように見えるが、まともなステージは大きなマス目のみで、小さいマス目はあっという間に終わるただのボーナスステージという手抜き。

ステージ構成も少し進む度に通行止めの発生＋敵の殲滅を強制され、これを延々繰り返す。挙句中盤以降から即死トラップが登場し、終盤は連チャントラップでストレスフル。

ステージ進行中にNPCがやたらと喋るのだが、ゲームのペラさを誤魔化すためだと思うと、本来嬉しいはずの演出がこれまた逆に癇に障る始末。

トレハン要素ゼロで退屈アクションという救いようのない絶望的ハクスラ。例えワンコインのセール価格であっても、このゲームは絶対にお薦めできない。",negative,トレハン要素ゼロ,ゲームシステム,レビューでは、トレハン要素が全くなく退屈だと述べているため。
